Rank, Country/US state, USD
1, IMG Luxembourg (European Union), 113196
2, IMG New York (United States), 90043
3, IMG Massachusetts (United States), 86942
4, IMG Switzerland, 83716
5, IMG Connecticut (United States), 81055
6, IMG California (United States), 80563
7, IMG Washington (United States), 80170
8, IMG Delaware (United States), 78468
9, IMG Norway, 77975
10, IMG Ireland (European Union), 77771
11, IMG Alaska (United States), 76220
12, IMG North Dakota (United States), 75321
13, IMG New Jersey (United States), 73451
14, IMG Maryland (United States), 71838
15, IMG Illinois (United States), 71727
16, IMG Qatar, 69687
17, IMG Hawaii (United States), 69593
18, IMG Colorado (United States), 68828
19, IMG Wyoming (United States), 68757
20, IMG Minnesota (United States), 68427
21, IMG Iceland, 67037
22, IMG Nebraska (United States), 66737
23, IMG Texas (United States), 66149
24, IMG New Hampshire (United States), 66069
25, IMG Virginia (United States), 65824
26, IMG Pennsylvania (United States), 64412
27, IMG Singapore, 63987
28, IMG Iowa (United States), 62493
29, IMG South Dakota (United States), 61104
30, IMG Rhode Island (United States), 60830
31, IMG Oregon (United States), 60558
32, IMG Ohio (United States), 60464
33, IMG Wisconsin (United States), 60425
34, IMG Kansas (United States), 60310
35, IMG Utah (United States), 59892
36, IMG Denmark (European Union), 59795
37, IMG Georgia (U.S. state) (United States), 58896
38, IMG Nevada (United States), 58570
39, IMG Louisiana (United States), 57445
40, IMG North Carolina (United States), 56862
41, IMG Indiana (United States), 56702
42, IMG Vermont (United States), 56525
43, IMG Tennessee (United States), 56451
44, IMG Michigan (United States), 54928
45, IMG Missouri (United States), 54879
46, IMG Australia, 53825
47, IMG Oklahoma (United States), 52409
48, IMG Netherlands (European Union), 52367
49, IMG Florida (United States), 51745
50, IMG Sweden (European Union), 51241
51, IMG Arizona (United States), 51179
52, IMG Maine (United States), 50915
53, IMG Ireland (European Union), 50201
54, IMG New Mexico (United States), 50022
55, IMG Montana (United States), 49540
56, IMG Finland (European Union), 48868
57, IMG Kentucky (United States), 48697
58, IMG South Carolina (United States), 48547
59, IMG Alabama (United States), 47735
60, IMG San Marino, 47279
61, IMG Germany (European Union), 46563
62, IMG Canada, 46212
63, IMG Idaho (United States), 46043
64, IMG Belgium (European Union), 45175
65, IMG Arkansas (United States), 44808
66, IMG West Virginia (United States), 43806
67, IMG Israel, 42823
68, IMG France (European Union), 41760
69, IMG United Kingdom, 41030
70, IMG Japan, 40846
71, IMG New Zealand, 40634
72, IMG Mississippi (United States), 40464
73, IMG United Arab Emirates, 37749
74, IMG Bahamas The, 33261
75, IMG Italy (European Union), 32946
76, IMG Korea South, 31430
77, IMG Malta (European Union), 30650
78, IMG Spain (European Union), 29961
79, IMG Kuwait, 29266
80, IMG Brunei, 27871
81, IMG Cyprus (European Union), 27719
82, IMG Slovenia (European Union), 26170
83, IMG Bahrain, 25273
84, IMG Estonia (European Union), 23523
85, IMG Czechia (European Union), 23213
86, IMG Portugal (European Union), 23030
87, IMG Saudi Arabia, 22865
88, IMG Greece (European Union), 19974
89, IMG Slovakia (European Union), 19547
90, IMG Lithuania (European Union), 19266
91, IMG Saint Kitts and Nevis, 18245
92, IMG Latvia (European Union), 18171
93, IMG Antigua and Barbuda, 18109
94, IMG Barbados, 18069
95, IMG Oman, 17791
