English, Danish, Norwegian (Bokmål/Nynorsk), Swedish
Albania, Albanien, Albania, Albanien
Algeria, Algeriet, Algerie, Algeriet
Australia, Australien, Australia, Australien
Austria, Østrig, Østerrike/Austerrike, Österrike
Belarus, Hviderusland, Hviterussland/Kviterussland, Vitryssland
Belgium, Belgien, Belgia, Belgium
Bosnia and Herzegovina, Bosnien-Hercegovina, Bosnia-Hercegovina, Bosnien och Hercegovina Bosnien-Hercegovina Bosnien
Brazil, Brasilien, Brasil, Brasilien
Bulgaria, Bulgarien, Bulgaria, Bulgarien
Cambodia, Cambodja, Kambodsja, Kambodja
Cameroon, Cameroun, Kamerun, Kamerun
Cape Verde, Kap Verde, Kapp Verde, Kap Verde
Central African Republic, Den Centralafrikanske Republik, Den sentralafrikanske republikk, Centralafrikanska republiken
Chad, Tchad, Tsjad, Tchad
Comoros, Comorerne, Komorene, Komorerna
Congo Republic of, Republikken Congo, Republikken Kongo, Kongo-Brazzaville Republiken Kongo
Croatia, Kroatien, Kroatia, Kroatien
Cyprus, Cypern, Kypros, Cypern
Czech Republic Czechia, Den Tjekkiske Republik Tjekkiet, Den tsjekkiske republikk Tsjekkia, Tjeckien
Democratic Republic of Congo, Den Demokratiske Republik Congo, Den demokratiske republikken Kongo, Kongo-Kinshasa Demokratiska republiken Kongo
East Timor, Østtimor, Øst-Timor/Aust-Timor, Östtimor Timor-Leste
Egypt, Egypten Ægypten, Egypt, Egypten
Equatorial Guinea, Ækvatorialguinea, Ekvatorial-Guinea, Ekvatorialguinea
Ethiopia, Etiopien, Etiopia, Etiopien
France, Frankrig, Frankrike, Frankrike
Greece, Grækenland, Hellas, Grekland
India, Indien, India, Indien
Indonesia, Indonesien, Indonesia, Indonesien
Italy, Italien, Italia, Italien
Latvia, Letland, Latvia, Lettland
Libya, Libyen, Libya, Libyen
Macedonia, Makedonien, Makedonia, Nordmakedonien
Mauritania, Mauretanien, Mauritania, Mauritania
Micronesia Federated States of, Føderale statsforbund Mikronesien, Mikronesiaføderasjonen, Mikronesiens federerade stater Mikronesiska federationen
Mongolia, Mongoliet, Mongolia, Mongoliet
Mozambique, Mozambique, Mosambik, Moçambique
North Korea, Nordkorea, Nord-Korea, Nordkorea
Philippines, Filippinerne, Filippinene, Filippinerna
Romania, Rumænien, Romania, Rumänien
Saudi Arabia, Saudi Arabien, Saudi-Arabia, Saudiarabien
Serbia, Serbien, Serbia, Serbien
Slovakia, Slovakiet, Slovakia, Slovakien
Slovenia, Slovenien, Slovenia, Slovenien
Solomon Islands, Salomonøerne, Salomonøyene, Salomonöarna
South Africa, Sydafrika, Sør-Afrika, Sydafrika
South Korea, Sydkorea, Sør-Korea, Sydkorea
South Sudan, Sydsudan, Sør-Sudan, Sydsudan
Spain, Spanien, Spania, Spanien
Switzerland, Schweiz, Sveits, Schweiz
Syria, Syrien, Syria, Syrien
Tunisia, Tunisien, Tunisia, Tunisien
Ukraine, Ukraine, Ukraina, Ukraina
United Kingdom of Great Britain and Northern Ireland, Det Forenede Kongerige Storbritannien og Nordirland, Det forente kongerike Storbritannia og Nord-Irland/Det sameinte kongeriket Storbritannia og Nord-Irland, Storbritannien Förenade konungariket Storbritannien och Nordirland Förenade kungariket
