Grammatical form,Ido,English,,Esperanto,
Noun,-o (libro),book,,-o (libro),
Noun,-i (libri),books,,-oj (libroj),
Adjective,-a (varma),warm,,-a (varma),
Adverb,-e (varme),warmly,,-e (varme),
Infinitive,-ar (irar),to be going,to go,-anti (iranti),-i (iri)
Infinitive,-ir (irir),to have gone,,-inti (irinti),
Infinitive,-or (iror),to be going to go,,-onti (ironti),
Present tense,-as (iras)," go, goes ",,-as (iras),
Past tense,-is (iris),went,,-is (iris),
Future tense,-os (iros),will go,,-os (iros),
Imperative mood,-ez (irez),go!,,-u (iru),
Conditional mood,-us (irus),would go,,-us (irus),
