Esperanto,International Phonetic Alphabet,Novial
"   A, a ",[Open front unrounded vowel],"   A, a  "
"   B, b ",[Voiced bilabial stop],"   B, b  "
"   C, c ",[Voiceless alveolar affricate],"   Ts, ts; S, s  "
"   Ĉ, ĉ ",[Voiceless palato-alveolar affricate],"   Ch, ch; Sh, sh  "
"   D, d ",[Voiced alveolar stop],"   D, d  "
"   E, e ",[Close-mid front unrounded vowel] or [Close-mid front unrounded vowel],"   E, e  "
"   F, f ",[Voiceless labiodental fricative],"   F, f  "
"   G, g ",[Voiced velar stop],"   G, g  "
"   Ĝ, ĝ ",[Voiced palato-alveolar affricate],"   J, j  "
"   H, h ",[Voiceless glottal fricative],"   H, h  "
"   Ĥ, ĥ ",[Voiceless velar fricative],"   K, k  "
"   I, i ",[Close front unrounded vowel],"   I, i  "
"   J, j ",[Palatal approximant],"   Y, y  "
"   Ĵ, ĵ ",[Voiced palato-alveolar fricative],"   J, j  "
"   K, k ",[Voiceless velar stop],"   K, k  "
"   L, l ",[Alveolar lateral approximant],"   L, l  "
"   M, m ",[Bilabial nasal],"   M, m  "
"   N, n ",[Alveolar nasal],"   N, n  "
"   O, o ",[Close-mid back rounded vowel] or [Close-mid back rounded vowel],"   O, o  "
"   P, p ",[Voiceless bilabial stop],"   P, p  "
Kv kv,[kv],"   Qu, qu  "
"   R, r ",[Alveolar trill],"   R, r  "
"   S, s ",[Voiceless alveolar sibilant],"   S, s; Z, z  "
"   Ŝ, ŝ ",[Voiceless palato-alveolar fricative],"   Sh, sh; Ch, ch  "
"   T, t ",[Voiceless alveolar stop],"   T, t  "
"   U, u ",[Close back rounded vowel],"   U, u  "
"   Ŭ, ŭ ",[u̯],"   U, u (after a vowel)  "
"   V, v ",[Voiced labiodental fricative],"   V, v; W, w  "
"   Ks, ks; kz ","   [ks], [ɡz] ","   X, x  "
"   Z, z ",[Voiced alveolar sibilant],"   Z, z; S, s  "
