,Imports,Exports
3ds Max," BMP, Cineon, TGA, JPG, JPG, OpenEXR, Cineon, Radiance HDR, SGI, RLA, RPF, AVI, MPEG and QuickTime, JPG, TIFF, PSD, MOV, YUV, DDS ",?
Art of Illusion (software)," GIF, GIF, GIF, GIF, HDR, SVG "," JPG, JPG, JPG, TIFF, HDR, QuickTime "
AC3D," GIF, GIF, GIF, GIF, DDS, PPM, Targa, TIFF "," GIF, GIF, GIF, GIF, DDS, PPM, Targa, TIFF "
Blender (software)," TGA, JPG, JPG, OpenEXR, DPX, Cineon, Radiance HDR, Iris, SGI Movie, IFF, AVI and QuickTime, JPG, TIFF, PSD, MOV "," TGA, JPG, JPG, OpenEXR, DPX, Cineon, Radiance HDR, Iris, SGI Movie, IFF, AVI and QuickTime, JPG, TIFF, PSD, MOV "
Electric Image Animation System," TGA, JPG, JPG, JPG, Radiance HDR, AVI and QuickTime, TIFF, PSD, MOV "," Portable Network Graphics, Portable Network Graphics, AVI and QuickTime Portable Network Graphics, TIFF, MOV "
Cinema 4D,?,?
Clara.io," Portable Network Graphics, JPG ",?
Cobalt (CAD program)," BMP file format, BMP file format, BMP file format, BMP file format, BMP file format, PPM, BMP file format, BMP file format "," BMP file format, BMP file format, BMP file format, BMP file format, BMP file format, PPM, BMP file format, BMP file format "
Houdini,?,?
IClone," JPG, BMP, GIF, TGA, PNG, AVI, WMV, MP3, WAV, popVideo "," JPG, BMP, GIF, TGA, PNG, WMV, AVI, MP4, popVideo, FLV, iWidget "
Lightwave 3D," TGA, JPG, JPG, AI, EPS, JPG, IFF, Radiance HDR, AVI and QuickTime, JPG, TIFF, PSD, MOV, OpenEXR "," TGA, JPG, JPG, JPG, Radiance HDR, IFF, AVI and QuickTime, JPG, TIFF, PSD, MOV, OpenEXR "
MakeHuman,?,?
Maya (software)," Ai, Aiff, Pix, AVI, Cineon, EPS, GIF, Jpeg, Swf, Maya IFF, Maya16 IFF, MacPaint, PSD, GIF, Quantel, Quickdraw, MOV, RLA, SVG, SGI, SGI16, SGI Movie, TGA, TIF, GIF, HDR "," Maya IFF, AVI, QT, GIF, Softimage, RLA, GIF, TIF, SGI RGB, Alias PIX, Jpeg, EPS, Cineon, Quantel, TGA, Macpaint, PSD, GIF, Quickdraw, DDS "
Metasequoia (software),?,?
Modo (software)," TGA, BMP file format, FLX, BMP file format, HDR, HDR, JP2, BMP file format, JPEG, BMP file format, SGI, openEXR, EPS, AI, PSD "," TGA, BMP file format, FLX, BMP file format, HDR, JP2, BMP file format, JPEG, BMP file format, TIF, openEXR, MOV, MWV, PSD "
Remo 3D," BMP, DDS, GIF, JPG, PNG, PNM, SGI (RGB), TGA, TIF "," JPG, PNG, SGI (RGB), TIF, XPM "
Shade 3D,?," QuickTime VR, Piranesi EPix "
Softimage,?,?
Solid Edge,?,?
SketchUp," JPG, JPG, TIF, TGA, JPG "," JPG, JPG, TIF, JPG "
SketchUp Pro," JPG, JPG, TIF, TGA, JPG "," JPG, JPG, TIF, JPG, MOV(on Mac), AVI (on Windows)JPG "
Wings3D,?,?
