Other software,Graphical user interface,Command-line interface,Other,Programming language,Based on
ADCCore,No,No,No,C Sharp (programming language),CoreDC
DCBouncer,No,Yes,No,C++,
DC-Hublink,Yes,No,No,Visual Basic,
DCWatch,No,Yes,No," Java (programming language), Java (programming language) ",Embla
Embla,No,No,No,Java,
FlowLib,No,No,No,C Sharp (programming language),
NetChatLink,Yes,No,No,Object Pascal (Delphi),
Announcer Bot,No,No,No,Lua (programming language),
Certmanager,Yes,No,No,wxLua,
ADC hub,GUI,CLI,Other,Programming language,Based on
