ADC hub,Microsoft Windows,Linux,OS X,Other
ADCH++,Yes,Yes,No,No
ADCH++ GUI,Yes,Yes,No,Any Python (programming language) enabled platform
DSHub,Yes,Yes,Yes,Any Java (programming language) enabled platform
FlexHub,Yes,Yes,No,No
Luadch,Yes,Yes,Yes," Raspberry Pi, Raspberry Pi Raspberry Pi, any Raspberry Pi enabled platform "
Nexthub,Yes,?,No,Any C Sharp (programming language) enabled platform
uhub,Yes,Yes,Yes," BSD, BSD, BSD, BSD "
Erlhub,Yes,Yes,Yes,Any Erlang (programming language) enabled platform
Qhub,?,?,?,?
Starlet ADC Hub,No,No,No,OpenVMS
Starhub,Yes,Yes,Yes,Any Java (programming language) enabled platform
RusHub,Yes,Yes,Yes," FreeBSD, FreeBSD "
ADC hub,Windows,Linux,OS X,Other
