Chart type / Framework,,Adobe Flash Builder,Axiis,BirdEye,Flare,Flexmonster,ILOG,Kap IT Labs,yFiles,amCharts,AnyChart,LiveGap Chart
Cost,,Free,Free,Free,Free,Non-free contact vendor for prices," Non-free £556 (for Software license agreement), contact vendor for Software license agreement  "," Free for non-commercial, €2'500 (VAT excluded) for full 1-developer package  ",Non-free contact vendor for prices,Free (with link to amCharts) link-free from €85},Free (with link to AnyChart) Team license available},Free
Software license,,Mozilla Public License,MIT license,MIT license,BSD License,Proprietary software,Proprietary software,Proprietary software,Proprietary software,Proprietary software,Proprietary software,Free
Open-source license,,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No
Bar/Column charts,Simple,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes
,Stacked,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes
,Floating (Range),Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes
,Waterfall chart,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No
,Layered,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No
Line charts,Simple,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes
,Spline (Curve),Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes
,Step,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes
Pie charts,Simple,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
,Pie chart,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
,Pie chart,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No
,Pie chart,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No
Area charts,Simple,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes
,Spline (Curve),Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes
,Floating (Range),No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes
,Histogram,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No
Scatter plot charts,Scatterplot,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No
,Bubble chart,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No
Circular charts,Radar chart,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes
,Pie chart,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes
Accumulation charts,Pyramid,No,No,No,No,No,No,No,No,No,Yes,No
,Funnel,No,No,No,No,No,No,No,No,No,Yes,No
Tree/Heat map charts,Treemapping,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No
,Heat map,No,No,No,No,No,Yes,No,No,No,No,No
Finance charts,Open-high-low-close chart,Yes,No,No,No,No,No,No,No,Yes,No,No
,Candlestick chart,Yes,No,No,No,No,No,No,No,Yes,No,No
,Kagi chart,No,No,No,No,No,No,No,No,No,No,No
Gauge charts,,No,No,No,No,No,Yes,No,No,No,Yes,No
Cartogram,,No,No,Yes,No,No,Yes,No,No,No,No,No
Gantt chart,,No,No,No,No,No,Yes,No,No,No,Yes,No
Dependency graphs,,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No
Nomograms,Smith chart,No,Yes,No,No,No,No,No,No,No,No,No
Organizational chart,,No,No,No,No,No,Yes,Yes,Yes,No,No,No
Flow chart,,No,No,No,No,No,Yes,Yes,Yes,No,No,No
