Product,Formats total #,.cbr,.cbz,.umd,.chm,.djvu,.epub,.fb2,.html,.mobi,.oeb,.rtf,.pdf,.txt,.doc,.docx,.pdb
Aldiko,02+,?,?,?,No,No,Yes,No,No,No,No,No,Yes,No,?,?,?
AlReader (page does not exist),09+,?,?,?,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes
Bookari Ebook Reader Premium (page does not exist),02+,?,?,?,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No
CoolReader,07+,?,?,?,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes
EBookDroid (page does not exist),05+,?,?,?,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,?,?,?
Ebook Reader (page does not exist)Ebook Reader (page does not exist),02+,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No
EReader Prestigio (page does not exist)EReader Prestigio (page does not exist),09+,?,?,?,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,?
EzPDF Reader (page does not exist),04+,?,?,?,No,No,Yes,No,Yes,No,No,No,Yes,Yes,?,?,?
FBReader FBReader,11+,?,?,?,No,Plugin[10],Yes,Yes,Yes,Yes,Yes,Yes,Plugin[11],Yes,Yes,No,Yes
Google Play Books,02+,?,?,?,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No
IReader (page does not exist),02+,?,?,?,?,?,Yes,?,Yes,Yes,?,?,?,Yes,?,?,?
Amazon Kindle,02+,?,?,?,No,No,No,No,No,Yes,No,No,Yes,Yes,?,?,?
KOReader,13,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
Kobo Books,05+,?,?,?,No,No,Yes,No,Yes,No,No,Yes,No,Yes,?,?,?
Lektz,02+,?,?,?,No,No,Yes,No,No,No,No,No,Yes,No,?,?,?
Librera (page does not exist)Librera (page does not exist),13,Yes,Yes,?,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
Moon+ reader Pro (page does not exist),14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
MReader (page does not exist)MReader (page does not exist),10+,?,?,?,No,No,Yes,No,No,No,No,No,No,No,No,No,No
PocketBook reader (page does not exist),07+,?,?,?,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes
Snapplify,07+,?,?,?,No,No,Yes,No,Yes,No,No,No,Yes,Yes,?,?,?
Socio eReader (page does not exist),01+,?,?,?,No,No,Yes,No,No,No,No,No,No,No,?,?,?
