BitTorrent client,Microsoft Windows,MacOS,Linux,Berkeley Software Distribution,IOS,Android (operating system),Other
BitComet,Yes,Yes,No,No,No,No,No
BitLord,Yes,Yes,No,No,No,No,No
BitTorrent (software),Yes,Yes,No,No,No,Yes[25],No
Deluge (software),Yes,Yes,Yes,Yes,No,No,Solaris (operating system)
FlashGet,Yes,No,No,No,No,No,No
Free Download Manager,Yes,Yes,No,No,No,No,No
Frostwire,Yes[26],Yes[26],Yes[26],Yes[26],No[26],Yes[26]," Unix-like,Unix-like Unix-like,Unix-like Solaris, OS/2, eComStation, ArcaOSUnix-like "
KGet,No,No,Yes,Yes,No,No,No
KTorrent,No,Yes,Yes,Yes,No,No,No
Lftp,Yes,Yes,Yes,Yes,No,No,No
LimeWire,Yes,Yes,Yes,Yes,No,No,Yes[ Wikipedia:Citing sources ]
Miro (software),Yes,Yes,Yes,Yes,No,No,No
MLDonkey,Yes,Yes,Yes,Yes,No,No," Solaris, MorphOS "
ΜTorrent,Yes,Yes,Web,No,No,Yes[29],No
Opera (web browser),Yes[Note 1],Yes,Yes[Note 1],Yes[Note 1],No,Yes[ Wikipedia:Citation needed ],Solaris
QBittorrent,Yes[30],Yes[30],Yes[30],Yes[30],No[30],No[31]," OS/2 (including OS/2 and OS/2), OS/2, OS/2OS/2 "
Robert (P2P software),Yes,Yes,Yes,Yes,No,No,No
RTorrent," Yes, through CygwinCygwin ",Yes,Yes,Yes,No,No,Solaris
Shareaza,Yes,No,No,No,No,No,No
Tixati,Yes,No,Yes,No,No,No,No
Tonido,Yes,Yes,Yes,Yes,No,No,No
Transmission (BitTorrent client),Yes [Note 1],Yes,Yes,Yes," Yes, through Cydia ",Yes," Solaris, OpenWrt "
Tribler,Yes,Yes,Yes,Yes,No,No,No
Vuze,Yes,Yes,Yes,Yes,No,Yes[33],No
Xunlei,Yes,Yes,No,No,Yes,Yes[ Wikipedia:Citation needed ],No
Name,Microsoft Windows,OS X,Linux,BSD,IOS,Android (operating system),Other
