Site,Specialization,Is a tracker,Directory,Public,RSS,One-click download,Sortable,Comments,Multi-tracker index,Ignores Digital Millennium Copyright Act,Tor friendly
1337x1337x,None,No,Yes,Yes,No,No,Yes,Yes,Yes,No[4],No
apollo.rip[5],Music,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No
Demonoid,None,Yes,Yes,Yes,No,Yes,Yes,Yes,?,?,Yes
Etree,Concert,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,?,?
ETTV[6],None,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No
EZTVEZTV,TV Series,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
HDBits[8],Movies,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No
IPTorrents[9],None,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No
Kickass Torrent [10],None,No,Yes,Yes,No,Yes,No,No,No,No,No
Limetorrents[11],None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
MkvCage [12],Film,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No
Nyaa Torrents," CJK characters content, especially CJK characters and CJK characters ",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
The Pirate Bay,None,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
Rarbg,None,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No
redacted.ch[13],Music,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No
RevolutionTT[14],None,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No
Rutracker (page does not exist) [Rutracker (page does not exist)]Rutracker (page does not exist),None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
Torlock[16],None,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No[17],?
Torrent downloads[18],None,No,Yes,Yes,No,No,No,Yes,No,No,No
torrentleech.org[19],None,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No
Torrentseeker[20],Search,No,No,Yes,No,No,Yes,No,No,No,No
Torrents.me[21],Search,No,Yes,Yes,No,No,Yes,Yes,No,No,No
Worldwidetorrents.me[22],None,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No
YourBittorrent,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No[23],No
YTS[24],Film,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
Zooqle[25],Search,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
Site,Specialization,Is a tracker,Directory,Public,RSS,One-click download,Sortable,Comments,Multi-tracker index,Ignores DMCA,Tor friendly
