List of international vehicle registration codes,Country,Speed limit on Motorway (km/h),Speed limit on Dual carriageway (km/h),Speed limit on Single carriageway (km/h),Speed limit in urban area,Permitted alcohol level (%),Toll road,Seatbelt required,Minimum child age (front seat),Triangle required,First aid required,Fire extinguisher required,Spare bulb required,Minimum driver's age,Tow rope required
A,//upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_Austria.svg/23px-Flag_of_Austria.svg.png Austria,130,100,100,50,0.05,Yes,All,N/A,Yes,Yes,Recommended,No,17,Yes
AL,//upload.wikimedia.org/wikipedia/commons/thumb/3/36/Flag_of_Albania.svg/21px-Flag_of_Albania.svg.png Albania,110,N/A,90,40,0,,Yes[1],N/A,Recommended,Recommended,Recommended,No,18,Yes
AND,//upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Andorra.svg/22px-Flag_of_Andorra.svg.png Andorra,N/A,N/A,90,50,0.05,,Front,10,Yes,Recommended,Recommended,No,18,Yes
B,//upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Belgium_%28civil%29.svg/23px-Flag_of_Belgium_%28civil%29.svg.png Belgium,120,90,90 (70 in Flanders),50,0.05,No[2],All,12,Yes,Yes,Yes,No,18 (17 with supervision of parents),Yes
BG,//upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Bulgaria.svg/23px-Flag_of_Bulgaria.svg.png Bulgaria,140,N/A,90,50,0.05,Yes,All,10,Yes,Yes,Yes,Yes,18,Yes
BIH,//upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Flag_of_Bosnia_and_Herzegovina.svg/23px-Flag_of_Bosnia_and_Herzegovina.svg.png Bosnia and Herzegovina,130,100,80,50,0.03,,Yes[3],12,Yes,Yes,Recommended,Yes,18,Yes
BY,//upload.wikimedia.org/wikipedia/commons/thumb/8/85/Flag_of_Belarus.svg/23px-Flag_of_Belarus.svg.png Belarus,110,N/A,90,60,<0.03,Yes,Yes[4],12,Yes,Yes,Yes,No,18,Yes
CH,//upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Flag_of_Switzerland.svg/16px-Flag_of_Switzerland.svg.png  Switzerland,120,N/A,80 (100 on limited-access roads),50,0.05,Yes,All,,Yes,Recommended,Recommended,No,18,Yes
CY,//upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_Cyprus.svg/23px-Flag_of_Cyprus.svg.png Cyprus,100,N/A,80,50,0.05,,All,12," Yes, 2x",Recommended,Recommended,No,18,Yes
CZ,//upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Flag_of_the_Czech_Republic.svg/23px-Flag_of_the_Czech_Republic.svg.png Czech Republic,130 (urban 80),110 (urban 80),90,50,0 (tolerated 0.02),Yes,All,,Yes,Yes,Recommended,Yes,18 (17 for B1 cars),Yes
D,//upload.wikimedia.org/wikipedia/en/thumb/b/ba/Flag_of_Germany.svg/23px-Flag_of_Germany.svg.png GermanyGermany,no (130 recommended),no (130 recommended),100 (no / 130 recommended with two or more lanes per direction),50,0.05,No[6],All,N/A,Yes,Yes,Recommended,No,18 (17 with supervision of >30 years old driver),No
DK,//upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Flag_of_Denmark.svg/20px-Flag_of_Denmark.svg.png Denmark,130,N/A,80,50,0.05,Yes,All,N/A,Yes,Recommended,Recommended,No,18,Yes
E,//upload.wikimedia.org/wikipedia/en/thumb/9/9a/Flag_of_Spain.svg/23px-Flag_of_Spain.svg.png Spain,120,120,90,50,0.05,Yes,All,N/A," Yes, 2x",Recommended,Recommended,No,18,Yes
EST,//upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Flag_of_Estonia.svg/23px-Flag_of_Estonia.svg.png Estonia,110,110,90,50,0,,All,N/A,Yes,Yes,Yes,No,18 (16 with supervision of a person with 2+ years of driving experience),Yes
F,//upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/23px-Flag_of_France.svg.png France,130 (rain/wet 110),110 (rain/wet 100),80,50,0.05,Yes,All,10,Yes,Recommended,Recommended,No,18 (15 with supervision of a person with 5+ years of driving experience),Yes
FIN,//upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Finland.svg/23px-Flag_of_Finland.svg.png Finland,120[7],N/A,80,50,0.05,No,All,3,Yes,Recommended,Recommended,No,17,Yes
FL,//upload.wikimedia.org/wikipedia/commons/thumb/4/47/Flag_of_Liechtenstein.svg/23px-Flag_of_Liechtenstein.svg.png Liechtenstein,N/A,N/A,80,50,0.08,,All,N/A,Yes,Yes,Recommended,No,18,Yes
GB,//upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/23px-Flag_of_the_United_Kingdom.svg.png United Kingdom,112,112,97,48,0.08 (0.05 Scotland),,All,N/A,Recommended,Recommended,Recommended,No,17,Yes
GR,//upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_Greece.svg/23px-Flag_of_Greece.svg.png Greece,130,N/A,90,50,0.05,,All,12,Yes,Yes,Yes,No,18,Yes
H,//upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Flag_of_Hungary.svg/23px-Flag_of_Hungary.svg.png Hungary,130,110,90,50,0,Yes,All,12,Yes,Yes,Recommended,No,18 (17 with supervision of someone with 10+ years drive-experience),Yes
HR,//upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Flag_of_Croatia.svg/23px-Flag_of_Croatia.svg.png Croatia,130,110,80,50,0.05,Yes,All,12,Yes,Yes,Recommended,Yes,18,No
I,//upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/23px-Flag_of_Italy.svg.png Italy,130,110,90,50,0.05,Yes,All,12,Yes,Recommended,Recommended,No,18,Yes
IRL,//upload.wikimedia.org/wikipedia/commons/thumb/4/45/Flag_of_Ireland.svg/23px-Flag_of_Ireland.svg.png Republic of Ireland,120,N/A,100,50,0.05,Yes[8],All,N/A,Recommended,Recommended,Recommended,No,17,Yes
IS,//upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_Iceland.svg/21px-Flag_of_Iceland.svg.png Iceland,N/A,N/A," paved road - 90, gravel road 80",50,0.05,,All,14,Yes,Recommended,Recommended,No,17,Yes
L,//upload.wikimedia.org/wikipedia/commons/thumb/d/da/Flag_of_Luxembourg.svg/23px-Flag_of_Luxembourg.svg.png Luxembourg,130,N/A,90,50,0.05,,All,11,Yes,Recommended,Recommended,No,18,Yes
LT,//upload.wikimedia.org/wikipedia/commons/thumb/1/11/Flag_of_Lithuania.svg/23px-Flag_of_Lithuania.svg.png Lithuania,130,110,90,50,0.04,,All,12,Yes,Yes,Yes,No,18,No
LV,//upload.wikimedia.org/wikipedia/commons/thumb/8/84/Flag_of_Latvia.svg/23px-Flag_of_Latvia.svg.png Latvia,N/A,90,90,50,0.05,,All,,Yes,Yes,Yes,No,18,Yes
M,//upload.wikimedia.org/wikipedia/commons/thumb/7/73/Flag_of_Malta.svg/23px-Flag_of_Malta.svg.png Malta,N/A,N/A,80,50,0.08,,Yes[9],11,Recommended,Recommended,Recommended,No,18,Yes
MC,//upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Flag_of_Monaco.svg/19px-Flag_of_Monaco.svg.png Monaco,N/A,N/A,,50,0.05,,N/A,10,Recommended,Recommended,Recommended,No,18,Yes
MD,//upload.wikimedia.org/wikipedia/commons/thumb/2/27/Flag_of_Moldova.svg/23px-Flag_of_Moldova.svg.png Moldova,N/A,N/A,90,50,0,,All,12,Yes,Yes,Yes,No,18,Yes
MK,//upload.wikimedia.org/wikipedia/commons/thumb/7/79/Flag_of_North_Macedonia.svg/23px-Flag_of_North_Macedonia.svg.png North Macedonia,130,N/A,80,60,0.05,Yes,All,12,Yes,Yes,Recommended,Yes,18,Yes
MNE,//upload.wikimedia.org/wikipedia/commons/thumb/6/64/Flag_of_Montenegro.svg/23px-Flag_of_Montenegro.svg.png Montenegro,120,N/A,80,50,0.05,Yes,All,12,Yes,Recommended,Recommended,No,,Yes
N,//upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Norway.svg/21px-Flag_of_Norway.svg.png Norway,110,N/A,80,50,0.02,Yes,All,N/A,Yes,Recommended,Recommended,No,18,Yes
NL,//upload.wikimedia.org/wikipedia/commons/thumb/2/20/Flag_of_the_Netherlands.svg/23px-Flag_of_the_Netherlands.svg.png Netherlands,130,100,80,50,0.05,Yes[10],All,12,Recommended,Recommended,Recommended,No,18 (17 with supervision of someone with 5+ years drive-experience),Yes
P,//upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_Portugal.svg/23px-Flag_of_Portugal.svg.png Portugal,120,100,90,50,0.05,Yes,All,12,Yes,Recommended,Recommended,No,18,Yes
PL,//upload.wikimedia.org/wikipedia/en/thumb/1/12/Flag_of_Poland.svg/23px-Flag_of_Poland.svg.png Poland,140,100 (120 on expressways),90 (100 on expressways)," 50 (5–23), 60 (23–5)",0.02,Yes,All,N/A,Yes,Recommended,Yes,No,18 (16 for B1 cars),No
RO,//upload.wikimedia.org/wikipedia/commons/thumb/7/73/Flag_of_Romania.svg/23px-Flag_of_Romania.svg.png Romania,130,100 (110 on expressways),90,50,0,Yes,All,12,Yes,Yes,Yes,No,18 (16 for B1 cars),No
RSM,//upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Flag_of_San_Marino.svg/20px-Flag_of_San_Marino.svg.png San Marino,N/A,N/A,70,50,0.08,,All,12,Recommended,Recommended,Recommended,No,18,Yes
RUS,//upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png RussiaRussia,110,N/A,90,60,0,Yes,All,12,Yes,Yes,Yes,No,18,Yes
S,//upload.wikimedia.org/wikipedia/en/thumb/4/4c/Flag_of_Sweden.svg/23px-Flag_of_Sweden.svg.png Sweden,110,N/A,70,50,0.02,Yes,All,N/A,Yes,Recommended,Recommended,No,18,No
SK,//upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Flag_of_Slovakia.svg/23px-Flag_of_Slovakia.svg.png Slovakia,130,130,90,50,0,Yes,All,12,Yes,Yes,Recommended,Yes,18 (17 with supervision of someone with 10+ years drive-experience),Yes
SLO,//upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Flag_of_Slovenia.svg/23px-Flag_of_Slovenia.svg.png Slovenia,130,100,90,50,0.05,,All,12,Yes,Yes,Recommended,No,18,Yes
SRB,//upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Flag_of_Serbia.svg/23px-Flag_of_Serbia.svg.png Serbia,120,100,80,50,0.03,Yes,All,12,Yes,Yes,Yes,No,18,Yes
TR,//upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Flag_of_Turkey.svg/23px-Flag_of_Turkey.svg.png Turkey,120,110 (cars) / 90 (rest),90,50,0.05,Yes,All,10,Yes,Yes,Yes,No,18,Yes
UA,//upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/23px-Flag_of_Ukraine.svg.png Ukraine,130,110,90,50,0,Yes,All,12,Yes,Yes,Yes,No,18,Yes
