Editor,Version,Year,Creator,Software license
Amaya (web browser),11.4.4 (January 18),2012," World Wide Web Consortium, World Wide Web Consortium ",W3C Software Notice and License
Aptana Studio,3.6.0 (August 1),2014,Aptana,GNU General Public License
Arachnophilia," 5.5, build 2935 (March 9) ",2018,Paul Lutus [1],GNU Lesser General Public License
Atom (text editor),1.46.0 (May 5),2020,GitHub,MIT License
Bluefish (text editor),2.2.11 (January 24),2020,Bluefish (text editor),GNU General Public License
BlueGriffon,3.1 (October 14),2019,Disruptive Innovations,Mozilla Public License/Mozilla Public License/Mozilla Public License
Adobe Brackets,1.13 (June 18),2018,Adobe Systems,MIT License
Claris Homepage,3.0,1998,Claris,Proprietary software
Coda (web development software),2,2012," Panic, Inc. ",Proprietary software
Codelobster,5.10.1 (August 22),2016,Codelobster Software,Proprietary software
CoffeeCup HTML Editor,15.1 (July 10),2015,CoffeeCup Software,Proprietary software
CudaText,1.57.0 (June 25),2018," UVViewSoft (alexey_t, kvichans, matthias030) ",Mozilla Public License
Adobe Contribute,CS6.5 (8)(August 23),2012,Adobe Systems (formerly Adobe Systems),Proprietary software
Adobe Dreamweaver,CC 2020 (20.1) (February),2020,Adobe Systems (formerly Adobe Systems),Proprietary software
EZGenerator,4.1 (December),2012,Image-Line,Proprietary software
Freeway (software),7.1.3 (May 5),2016,Softpress,Proprietary software
Adobe GoLive,9.0 (June 1),2007,Adobe Systems (formerly GoLive Systems),Proprietary software
Google Web Designer,(July),2018," Google, Inc. ",Proprietary software
HTML-Kit,292,,Chami.com,Proprietary software
KompoZer," 0.7.10/0.8b3 (August 30, 2007/ March 1, 2010) ",2010,Kaze,Mozilla Public License/Mozilla Public License/Mozilla Public License
LibreOffice,6.1.2 (September 27),2018,The Document Foundation,Mozilla Public License/Mozilla Public License/others
Maqetta,Preview 5 (March 28),2013,IBM,BSD license or BSD license
Microsoft Expression Web,4.0.1460.0 (December 20),2012,Microsoft,Proprietary software
Microsoft Office FrontPage,11.0.8174 (October 21),2003,Microsoft,Proprietary software
Microsoft FrontPage Express,2.0,1997,Microsoft,Proprietary software
Web Architect,6.9.1 (July 25),2012,mirabyte,Proprietary software
Microsoft SharePoint Designer,2007 (December 4),2006,Microsoft,Proprietary software
Visual Studio Code,1.28.1 (October 11),2018,Microsoft,MIT License
Microsoft Visual Web Developer,,2008,Microsoft,Proprietary software
Mobirise,4.8,2018,Mobirise.com,Proprietary software
Mozilla Composer,1.7.13 (April 21),2006,Mozilla Foundation,Mozilla Public License/Mozilla Public License/Mozilla Public License
Nvu,1.0 (June 28),2005,Linspire / Linspire,Mozilla Public License/Mozilla Public License/Mozilla Public License
OpenElement,1.44 (January 21),2014,openElement,Apache License 2.0
OpenOffice.org,4.1.5 (October 19),2017,Apache Software Foundation,Mozilla Public License/Mozilla Public License/others
Oxygen XML EditorOxygen XML Editor,17.1 (October),2015,Syncro Soft (page does not exist),Proprietary software (some components Proprietary software)
Quanta Plus,3.5.9 (February 20),2008,The Quanta Team,GPL
RocketCake,1.4,2017,Ambiera,Proprietary software
SeaMonkey Composer,2.53.1 (February 28),2020,SeaMonkey Council,Mozilla Public License
TextMate,2.0 Preview (August 12),2012,Macromates (page does not exist),GNU General Public License
TOWeb,5.07 (July 28),2013,Lauyan Software,Proprietary software
WebStorm IDE,7.0 (September 26),2013,JetBrains,Proprietary software
Editor,Version,Year,Creator,Software license
