International Phonetic Alphabet,iək,ĩ,ai,aĩ,au,am,ɔm,m̩,ɔŋ,ŋ̍,u,ua,ue,uai,uan,ɨ,(i)ũ
Pe̍h-ōe-jī,ek,iⁿ,ai,aiⁿ,au,am,om,m,ong,ng,u,oa,oe,oai,oan,i,(i)uⁿ
Revised Taiwanese Language Phonetic Alphabet,ik,iN,ai,aiN,au,am,om,m,ong,ng,u,ua,ue,uai,uan,ir,(i)uN
Taiwanese Language Phonetic Alphabet,ik,inn,ai,ainn,au,am,om,m,ong,ng,u,ua,ue,uai,uan,ir,(i)unn
Bbánlám Hōngggián Pīnyīn Hōngàn,ik,ni,ai,nai,au,am,om,m,ong,ng,u,ua,ue,uai,uan,i,n(i)u
Modern Literal Taiwanese,eg/ek,vi,ai,vai,au,am,om,m,ong,ng,u,oa,oe,oai,oan,i,v(i)u
Daighi tongiong pingim,ik,inn/iⁿ,ai,ainn/aiⁿ,au,am,om,m,ong,ng,u,ua,ue,uai,uan,i,(i)unn/uⁿ
Taiwanese kana,イェㇰ,イイ,アイ,アイ,アウ,アム,オム,ム,オン,ン,ウウ,ヲア,ヲエ,ヲァイ,ヲァヌ,ウウ,ウウ
Taiwanese Phonetic Symbols Taiwanese Phonetic Symbols,ㄧㆶ,ㆪ,ㄞ,ㆮ,ㆯ,ㆰ,ㆱ,ㆬ,ㆲ,ㆭ,ㄨ,ㄨㄚ,ㄨㆤ,ㄨㄞ,ㄨㄢ,ㆨ,ㆫ
Taiwanese Romanization System,ik,inn,ai,ainn,au,am,om,m,ong,ng,u,ua,ue,uai,uan,ir,(i)unn
Example (Traditional Chinese),翻 譯,病 院,愛 情,,歐 洲,暗 時,,阿 姆,王 梨,黃 色,有 無,歌 曲,講 話,奇 怪,人 員,豬 肉,舀 水
Example (Simplified Chinese),翻 译,病 院,爱 情,,欧 洲,暗 时,,阿 姆,王 梨,黄 色,有 无,歌 曲,讲 话,奇 怪,人 员,猪 肉,舀 水
