,Creator,Latest release date,Current stable version,Programming language,License
BbPressBbPress,WordPress Foundation,2019-09-04,5.2.3,PHPPHP,GNU General Public LicenseGNU General Public License
Beehive ForumBeehive Forum,Project Beehive Forum Developers,2016-11-05,1.5.2,PHP,GNU General Public License
Discourse (software)Discourse (software)," Civilized Discourse Construction Kit, Inc. ",2019-11-06,2.3.6," Ruby (programming language), Ruby (programming language) ",GNU General Public License
Discuz!Discuz!,Comsenz Inc.,2018-01-01,X3.4,PHP," Discuz! EULA (Proprietary software, Proprietary software for non-commercial use) "
FluxBBFluxBB,FluxBB.org Developers,2018-12-31,1.5.11,PHP,GNU General Public License
FUDforumFUDforum,Advanced Internet Designs Inc.,2018-04-09,3.0.9,PHP,GNU General Public License
IkonboardIkonboard,Matt Mecham (original creator) Joshua Johnson,2012-10-19,3.1.5A,Perl,Proprietary software
Invision Power BoardInvision Power Board,Invision Power Services,2019-06-12,4.4.4,PHP,Proprietary software
MyBBMyBB,MyBB Group,2019-06-10,1.8.21,PHP," GNU Lesser General Public License, moving to GNU Lesser General Public License in 2.0GNU Lesser General Public License "
PhorumPhorum,Brian Moon,2017-08-23,5.2.23,PHP,Phorum License 2 (BSD licenses like)
PhpBBPhpBB,PhpBB,2019-05-05,3.2.8,PHP,GNU General Public License
PunBBPunBB,PunBB,2015-10-14,1.4.4,PHP,GNU General Public License
Simple Machines ForumSimple Machines Forum,Simple Machines,2017-11-19[17],2.0.15[17],PHP,BSD License
SyndieSyndie,Anonymous (related to I2P),2014-08-14,1.107b,Java (programming language)," Open source, multiple licenses "
ThreddedThredded," Joel Oliveira, Gleb Mazovetskiy, et al. ",2019-08-17,0.16.13,Ruby (programming language),MIT License
Vanilla ForumsVanilla Forums,Vanilla Forums,2019-03-15,2.8.1,PHP,Proprietary software/Proprietary softwareProprietary software
VBulletinVBulletin,vBulletin Solutions Inc.,2019-05-14,5.5.2,PHPPHP,Proprietary softwareProprietary software
XenForo," XenForo Limited, Kier Darby, Mike Sullivan. ",2019-11-06,2.1.5,PHPPHP,Proprietary software
,Creator,Latest release date,Current stable version,Programming language,License
