Model,Universal Serial Bus,Gigabit Ethernet,AirPort Extreme,Bluetooth,Video interface,Secure Digital,Keyboard (computing) and Keyboard (computing),ISight,Apple Remote Apple Remote
Mac miniMac mini,4,Yes,Yes,Yes,HDMI and HDMI,Yes,No,No,Yes
IMac 21.5 inIMac,4,Yes,Yes,Yes,Thunderbolt (interface),Yes,Yes,Yes,No
IMac 21.5 in Retina DisplayIMac,4,Yes,Yes,Yes,Thunderbolt (interface),Yes,Yes,Yes,No
IMac 27 inIMac,4,Yes,Yes,Yes,Thunderbolt (interface),Yes,Yes,Yes,No
Mac Pro Quad-CoreMac Pro,4,2,Yes,Yes,HDMI and HDMI,No,No,No,No
Mac Pro 6-CoreMac Pro,4,2,Yes,Yes,HDMI and HDMI,No,No,No,No
MacBook AirMacBook Air,2,No,Yes,Yes,Thunderbolt (interface),Yes,Integrated,Yes,No
MacBook Pro 13 in 2.0 GHzMacBook Pro,2 USB-C,No,Yes,Yes,Thunderbolt (interface),No,Integrated,Yes,No
MacBook Pro 13 in 2.9 GHzMacBook Pro,4 USB-C,No,Yes,Yes,Thunderbolt (interface),No,Integrated,Yes,No
MacBook Pro 15 in 2.6 GHzMacBook Pro,4 USB-C,No,Yes,Yes,Thunderbolt (interface),No,Integrated,Yes,No
MacBook Pro 15 in 2.7 GHzMacBook Pro,4 USB-C,No,Yes,Yes,Thunderbolt (interface),No,Integrated,Yes,No
MacBook Pro 13 in 2.7 GHzMacBook Pro,2,No,Yes,Yes,HDMI and HDMI,Yes,Integrated,Yes,No
MacBook Pro 15 in 2.2 GHzMacBook Pro,2,No,Yes,Yes,HDMI and HDMI,Yes,Integrated,Yes,No
