Resort name and website,Nearest city,State/province,Peak elevation (ft),Base elevation (ft),Vertical drop (ft),Skiable acreage,Total trails,Total lifts,Avg annual snowfall (in),Adult weekend Lift ticket window price (USD),Date statistics updated
Ski Bromont," Bromont, Quebec ",Quebec," 1,854 ",590," 1,264 ",450,141,9,190,$54," December 1, 2019[1] "
Apex Mountain Resort,Penticton,British Columbia," 7,197 "," 5,197 "," 2,000 "," 1,112 ",79,4,236,$65," November 30, 2019[2] "
Canyon Ski Area," Red Deer, Alberta ",Alberta," 2,950 "," 2,412 ",538,80,23,6,45,$35," November 30, 2019[3] "
Fernie Alpine Resort," Fernie, British Columbia ",British Columbia," 7,000 "," 3,450 "," 3,550 "," 2,500 ",142,10,360,$90," November 30, 2019[4] "
Marble Mountain Ski Resort," Steady Brook, Newfoundland and Labrador ",Newfoundland and Labrador," 1,791 "," 1,759 ",32,230,40,5,192,$34," December 1, 2019[5] "
White Hills Ski Resort," Clarenville, Newfoundland and Labrador ",Newfoundland and Labrador," 1,227 ",482,745,55,27,2,100,$38," December 1, 2019[6] "
Ski Wentworth," Wentworth, Nova Scotia ",Nova Scotia,990,715,815,150,20,3,150,$35," December 1, 2019[7] "
Mount Sima (page does not exist)," Whitehorse, Yukon ",Yukon," 3,900 "," 2,857 "," 1,043 ",92,15,3,,$37," November 30, 2019[8] "
Shames Mountain," Terrace, British Columbia ",British Columbia," 3,900 "," 2,300 "," 1,600 ",225,28,3,480,$43," November 30, 2019[9] "
Castle Mountain Resort Castle Mountain Resort,Pincher Creek,Alberta," 7,463 "," 4,630 "," 2,833 "," 3,592 ",94,6,354,$71.75," November 15, 2019[10] "
Bolton Valley Bolton Valley," Waterbury, VT ",Vermont," 3,150 "," 2,100 "," 1,704 ",300,71,6,312,$69," October 17, 2019[11] "
Cooper (Colorado ski resort) (page does not exist) Cooper (Colorado ski resort) (page does not exist)," Leadville, CO ",Colorado," 11,700 "," 10,500 "," 1,200 ",470,60,5,260,$70," September 19, 2019[12] "
Grand Targhee Resort Grand Targhee Resort," Alta, WY ",Wyoming," 10,121 "," 7,851 "," 2,270 "," 2,602 ",99,5,500,$98," September 19, 2019[13] "
Stratton Mountain Resort Stratton Mountain Resort," Winhall, Vermont ",Vermont," 3,875 "," 1,872 "," 2,003 ",670,99,11,171,$125," September 9, 2019[14] "
Mt. Rose Ski Tahoe," New Washoe City, Nevada ",Nevada," 9,700 "," 8,260 "," 1,800 "," 1,200 ",60,8,396,$135," November 7, 2019[15] "
Soldier Mountain," Fairfield, ID ",Idaho," 7,177 "," 5,756 "," 1,400 "," 1,180 ",36,2,,$45," November 7, 2019[16] "
Pomerelle," Albion, ID ",Idaho," 9,000 "," 8,000 "," 1,000 ",500,24,2,500,$45," November 7, 2019[17] "
Schweitzer Mountain Resort," Sandpoint, ID ",Idaho," 6,400 "," 4,000 "," 2,400 "," 2,900 ",92,7,300,$86," November 7, 2019[18] "
Brundage Mountain," McCall, ID ",Idaho," 7,803 "," 5,882 "," 1,921 "," 1,920 ",46,5,320,$73," November 7, 2019[19] "
Bogus Basin," Boise, ID ",Idaho," 7,582 "," 5,800 "," 1,800 "," 2,600 ",78,7,200,$64," November 7, 2019[20] "
" Sun Valley, Idaho "," Sun Valley, ID ",Idaho," 9,150 "," 5,750 "," 3,400 "," 2,154 ",121,18,220[21],$133," November 7, 2019[22] "
Panorama Mountain Village," Invermere, British Columbia ",British Columbia," 7,792 "," 3,773 "," 4,019 "," 2,847 ",120,10,196,$92," October, 2016[23][24] "
Whitefish Mountain Resort," Kalispell, MT ",Montana," 6,817 "," 4,464 "," 2,353 "," 3,000 ",105,14,300,$83," November 7, 2019[25][26] "
Arizona Snowbowl," Flagstaff, AZ ",Arizona," 11,500 "," 9,200 "," 2,300 ",777,40,7,260,$99," November 7, 2019[27][28] "
Telluride Ski Resort," Telluride, CO ",Colorado," 13,150 "," 8,725 "," 4,425 "," 2,000 ",147,18,309,$149," December 11, 2019 "
Arapahoe Basin," Keystone, CO ",Colorado," 13,050 "," 10,520 "," 2,530 "," 1,428 ",147,9,350,$109," November 5, 2019[29] "
Pajarito Mountain Ski Area Pajarito Mountain Ski Area," Los Alamos, NM ",New Mexico," 10,440 "," 9,000 "," 1,440 ",750,44,5,163,$59," December 11, 2019[30] "
Taos Ski Valley Taos Ski Valley," Taos, NM ",New Mexico," 12,481 "," 9,200 "," 3,281 "," 1,294 ",110,14,300,$110," September 9, 2019[31] "
Ski Santa Fe (page does not exist) Ski Santa Fe (page does not exist)," Santa Fe, NM ",New Mexico," 12,075 "," 10,350 "," 1,725 ",660,83,7,225,$84," September 9, 2019[32] "
Big Sky Resort," Bozeman, MT ",Montana," 11,166 "," 6,800 "," 4,350 "," 5,800 ",317,36,400,$170," December 11, 2019[33] "
Beartooth Basin Summer Ski Area," Red Lodge, Montana ",Montana," 10,900 "," 9,900 "," 1,000 ",600,9,2,,$45," November 7, 2019[34] "
Jackson Hole Mountain Resort," Teton Village, WY ",Wyoming," 10,450 "," 6,311 "," 4,139 "," 2,500 ",133,15,459,$140," November 7, 2019[35] "
Loveland Ski Area," Georgetown, CO ",Colorado," 13,010 "," 10,800 "," 2,210 "," 1,800 ",94,11,422,$89," November 7, 2019[36] "
Revelstoke Mountain Resort," Revelstoke, BC ",British Columbia," 7,300 "," 1,680 "," 5,620 "," 3,121 ",75,5,413,$119," March 16, 2019[37] "
Mount Ashland Ski Area," Ashland, OR ",Oregon," 7,533 "," 6,383 "," 1,150 ",220,23,5,265,$52," September 29, 2019[38] "
