OLAP server,XML for Analysis,OLE DB for OLAP,Multidimensional Expressions,Stored procedures,Custom functions,SQL,LINQLINQ,Visualization,JSON,REST API
Apache Kylin,No,No,No,No,Yes,Yes,," Superset, Zeppelin, Tableau, Qlik, Redash, Microsoft Excel ",Yes,Yes
ClickHouse,No,No,No,No,Yes[15],Yes,No," Superset, Zeppelin, Tableau, Qlik, Redash, DataLens[16] ",Yes,Yes
Druid (open-source data store),No,No,No,No,Yes,Druid SQL,No," Superset, Pivot, Redash ",Yes,Yes
Essbase,Yes,Yes,Yes,Yes,Yes,No,Yes," SmartView (Excel-AddIn), Oracle Analytics Cloud, Narrative Reporting ",?,?
TM1,Yes,Yes,Yes,Yes,Yes,No,Yes," TM1 Web/TM1 Contributor, IBM Cognos Insight, IBM Performance Modeler, IBM Cognos Cafe for Excel, Cognos BI, TM1 Perspectives for Excel ",Yes,Yes
IcCube,Yes,Yes,Yes," Java (programming language),Java (programming language) Java (programming language)Java (programming language) ",Yes,In the reporting,Yes," icCube reporting and all XML for Analysis compliant visualization tools like Excel, etc ",Yes,Yes
Jedox,Yes,Yes,Yes," Cube Rules, SVS Triggers ",Yes,No,Yes," Microsoft Excel, Qlik, Tableau, Jedox Web, Power BI ",No,Yes
Kyvos,Yes,Yes,Yes,No,Yes,Yes,No," Kyvos Insights, Microsoft Excel, Qlik, Tableau, Power BI, MicroStrategy, IBM Cognos, Business Objects ",Yes,Yes
Microsoft Analysis Services,Yes,Yes,Yes,.NET framework.NET framework,Yes[20],Yes[21],Yes," Microsoft Excel, SharePoint, Microsoft Power BI, and 70+ other visualization tools ",No,No
MicroStrategy,Yes,No,Yes,Yes,Yes,Yes,Yes," Dossier, Dashboard, Reports ",Yes,Yes
Mondrian OLAP server,Yes,Yes[22],Yes,Yes,Yes[23],Yes,Yes,Yes[24],?,?
Oracle OLAP,No,Yes[25],Yes[25]," Java (programming language), PL/SQL, Java (programming language) ",Yes,Yes[26],No,?,?,?
SAP NetWeaver Business Intelligence,Yes,Yes,Yes,No,Yes,No,Yes,?,?,?
SAS System,Yes,Yes,Yes,No,No,No,Yes,Web Report Studio,?,?
