OLAP server,Issue Tracking System,Roadmap,Source code
Apache Kylin,Jira,Apache Kylin Roadmap,Open
ClickHouse,ClickHouse – Github Issues,ClickHouse Roadmap,Open
Druid (open-source data store),Druid – Github Issues,,Open
Essbase,myOracle Support,[6],Closed
IBM Cognos TM1,IBM Service Request,,Closed
IcCube,YouTrack,,Closed
Jedox,Mantis,Available upon request,Open
Kyvos,Zendesk,Available upon request,Open
Microsoft Analysis Services,Connect,-,Closed
MicroStrategy,MicroStrategy Resource Center,-,Closed
Mondrian OLAP server,Jira,[7],Open
Oracle OLAP,myOracle Support,,Closed
SAP NetWeaver Business Intelligence,OSS,[8],Closed
SAS System,Support,,Closed
