,Version,Operating systems,Office suite,Developer,License,ISO/IEC 26300:2006,Notes
Calligra Stage,2.4+," Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows ",Calligra Suite,KDE,GNU General Public License / GNU General Public License,Yes,
IBM Lotus Symphony,1.0+," Windows, Linux, Mac OS X ",IBM Lotus Symphony,IBM,Proprietary software,Yes,
IBM Workplace Documents,2.5+,Any (Web application),IBM Workplace Collaboration Services,IBM,Proprietary software,,no longer being actively marketed
KPresenter / KPresenter,1.4+," Linux, Linux ",KOffice,KDE,LGPL,no (not valid),
LibreOffice Impress,3.3.0," Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows ",LibreOffice,LibreOffice,LGPL,Yes,
Microsoft Office PowerPoint,2007 SP2,Microsoft Windows,Microsoft Office,Microsoft,Proprietary software,Yes,
NeoOffice Impress,1.2,Mac OS X,NeoOffice,Patrick Luby and Edward Peterlin,GNU General Public License,,Import only
NeoOffice Impress,2.2.5,Mac OS X,NeoOffice,Patrick Luby and Edward Peterlin,GNU General Public License,Yes,[2]
OpenOffice.org Impress,2.0+," Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows ",OpenOffice.org,OpenOffice.org,LGPL,Yes,
StarOffice Impress,8," Microsoft Windows, Microsoft Windows, Microsoft Windows ",StarOffice,Sun Microsystems,Proprietary software,Yes,
Zoho Office Suite,2006,Any (Web application),Standalone,AdventNet (page does not exist),Proprietary software,no (not valid),
,Version,Operating systems,Office suite,Developer,License,ISO/IEC 26300:2006,Notes
