DVR,MPEG-1,MPEG-2," MPEG-4 Part 2 (MPEG-4 Part 2), i.e. MPEG-4 Part 2, MPEG-4 Part 2 ",H.264/MPEG-4 AVC (H.264/MPEG-4 AVC),High Efficiency Video Coding,VP8,VP9,Windows Media Video,Audio Video Interleave,Advanced Systems Format,QuickTime,MPEG-4 Part 14,RealVideo,Matroska
Beyond TV,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Yes,Yes,Unknown,No,No,No,Unknown
Elgato,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown
Hauppauge Computer Works,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown
NextPVR,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown
Kodi (software) (formerly  XBMC ),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
MediaPortal,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Yes,Yes,Yes,No[v 1],Yes,No[v 1],Yes
Showshifter,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
MythTV,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
SageTV,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Unknown,Yes
Arcsoft TotalMedia Theatre,Yes,Yes,Yes,Yes,Unknown,No,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Unknown
Windows Media Center,Yes,Yes,Yes,Yes[v 1][v 2],Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes[v 1][v 2],Yes[v 1][v 2],No[v 1],Unknown
VBox Home TV Gateway,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown
