Name,Operating system,License,User interface,Fixed drives," USB, USB and removable drives ",RAID supportRAID,Shows S.M.A.R.T. attributes,Hard drive self-testing,Notification,Notes
AIDA64,Windows,TrialwareTrialware,GUI,(S)ATA,most USB,Some RAID controllers,Yes,No,Monitoring only available in the Business Edition[2],
Argus Monitor,Windows,TrialwareTrialware,GUI," IDE(PATA), SATA "," eSATA, USB ",Some RAID controllers,Yes,?," By window, sound, email, program execution at choosable parameter changes, threshold "," Also shows temperature of CPU, GPU, CPU core speed, Intel Turbo Boost status, CPU power consumption, system load and system fan speeds. Can control speed of GPU and system fans. "
CrystalDiskMark,Windows,MIT,GUI," IDE(PATA), SATA, NVMe "," eSATA, USB, IEEE 1394 ",Intel CSMI,Yes,No," Mail, sound and popup ",Sister utility to CrystalDiskMark. Has AAM/APM control.
Defraggler,Windows,Freeware,GUI," IDE(PATA), SATA "," eSATA, USB ",No,Yes,No,No," Primarily a Defragmenter; supports basic S.M.A.R.T. stat display, includes the one-word summary of drive-health. "
Disk Utility,MacOS,Commercial software Commercial software,GUI,No,ESATA and removable drives,?,No,No,No,Summary information includes one line for S.M.A.R.T.[4]
GNOME Disks,Linux,LGPL v2+,GUI," IDE(PATA), SATA ",USB (when used with Live CD),?,Yes,Yes,GNOME pop-up notification," LiveCD are available for download, allowing the user to use GNOME Disks without any changes to the computer. "
SmartmontoolsSmartmontools," Windows, Windows (Windows, Windows, Windows, etc.) ",GNU GPL v2,CLI and GUI (via Smartmontools)," All for Linux, some for other Unix-like ",See list of supported devices;[6] SAT driver required on macOS only[7],Several RAID controllers[8],Yes,Yes," window, sound, email, program execution at choosable parameter changes, threshold "," LiveCD are available for download, allowing the user to use smartmontools without any changes to the computer. "
Speccy,Windows,Freeware,GUI," IDE(PATA), SATA ",No[9],?,Yes,No,No,
SpeedFan,Windows,Freeware,GUI," (S)ATA, SCSI, SAT; Areca, 3ware ",Yes,Some RAID controllers,Yes,Yes," Window, sound, e-mail, running a command; at parameter changes, threshold, temperature "," Estimate health and performance by percentage, and offers online drive analysis (and compares from other users). "
SpinRite," DOS, DOS ",Commercial software Commercial software,GUI,?,?,?,Yes[10],Yes,No,
Name,Operating system," License, price ",User interface,Fixed drives," USB, USB and removable drives ",RAID supportRAID,Shows S.M.A.R.T. attributes,Hard drive self-testing,Notification,Notes
