Implementation,secp160k1 (15)[81],secp160r1 (16)[81],secp160r2 (17)[81],secp192k1 (18)[81],secp192r1 prime192v1 NIST P-192 (19)[81],secp224k1 (20)[81],secp224r1 NIST P-244 (21)[81],secp256k1 (22)[81],secp256r1 prime256v1 NIST P-256 (23)[81],secp384r1 NIST P-384 (24)[81],secp521r1 NIST P-521 (25)[81],arbitrary prime curves (0xFF01)[81][151],arbitrary char2 curves (0xFF02)[81][151]
Botan (programming library),No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No
BoringSSL,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes (disabled by default),No,No
GnuTLS,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No
Java Secure Socket Extension,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
LibreSSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
MatrixSSL,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No
Mbed TLS,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
Network Security Services,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
OpenSSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
RSA BSAFE,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No
SChannel,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No
MacOS,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No
WolfSSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
Erlang (programming language)/OTP SSL application,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
Implementation,secp160k1 (15),secp160r1 (16),secp160r2 (17),secp192k1 (18),secp192r1 prime192v1 NIST P-192 (19),secp224k1 (20),secp224r1 NIST P-244 (21),secp256k1 (22),secp256r1 prime256v1 NIST P-256 (23),secp384r1 NIST P-384 (24),secp521r1 NIST P-521 (25),arbitrary prime curves (0xFF01),arbitrary char2 curves (0xFF02)
