Calculator,TI-BASIC,Machine code,Lua (programming language),Python (programming language)
TI-73 TI-73,Yes,Yes,No,No
TI-80 TI-80,Yes,Only using exploits,No,No
TI-81 TI-81,Yes,Only using exploits,No,No
TI-82 TI-82,Yes,Only using exploits,No,No
TI-83   TI-83,Yes,Yes,No,No
TI-83 Plus   TI-83 Plus,Yes,Yes,No,No
TI-83 Plus Silver Edition   TI-83 Plus Silver Edition,Yes,Yes,No,No
TI-83 Premium CE   TI-83 Premium CE,Yes,Varies by firmware,No,Only with a TI-Python adapter[15]
TI-83 Premium CE   TI-83 Premium CE,Yes,Varies by firmware,No,Yes
TI-84 Plus TI-84 Plus,Yes,Yes,No,No
TI-84 Plus Silver Edition TI-84 Plus Silver Edition,Yes,Yes,No,No
TI-84 Plus C Silver Edition TI-84 Plus C Silver Edition,Yes,Yes,No,No
TI-84 Plus CE TI-84 Plus CE,Yes,Varies by firmware,No,No
TI-85 TI-85,Yes,Only using exploits,No,No
TI-86  TI-86,Yes,Yes,No,No
TI-89  TI-89,Yes,Yes,No,No
TI-89 Titanium   TI-89 Titanium,Yes,Yes,No,No
TI-92 seriesTI-92 series   TI-92 series,Yes,Only using exploits,No,No
TI-92 series   TI-92 series,Yes,Yes,No,No
TI-92 series   TI-92 series,Yes,Yes,No,No
TI-Nspire series   TI-Nspire series,Yes,Only using exploits,Yes,No
TI-Nspire   TI-Nspire,Yes,Only using exploits,Yes,No
TI-Nspire series   TI-Nspire series,Yes,Only using exploits,Yes,Fall 2020[16]
