,Client (library),Server (library),Version compared,Protocol (spec) version support,Protocol test report,License," Implementation: language, environment "," API: language, environment ",Self-hosted server,Text message support,Binary message support,API message-based,API frame-based,API streaming input-output,Flow-control framework,Automatic pongs for pings,Automatic heartbeat pings,Manual pings-pongs,Frame size limit
Google Chrome 15Google Chrome,Yes,No,15.0.874.8 12 Sep 2011,8 (10),,Complex," C++, C++ "," JavaScript, JavaScript ",No,Yes,Yes,Yes,No," No, No ",No,Yes,No,No,≥ 16 MB (memory-limited?)
Google Chrome 16Google Chrome,Yes,No,16.0.912 13 Dec 2011,13 (17/RFC 6455),,Complex," C++, C++ "," JavaScript, JavaScript ",No,Yes,Yes,Yes,No," No, No ",No,Yes,No,No,≥ 16 MB (memory-limited?)
Mozilla Firefox 7Firefox,Yes,No,7 beta 12 Sep 2011,8 (10),," Mozilla Public License, Mozilla Public License, Mozilla Public License "," C++, C++ "," JavaScript, JavaScript ",No,Yes,No,Yes,No," No, No ",No,Yes,No,No,< 16 MB
Mozilla Firefox 11Firefox,Yes,No,11.0 13 Mar 2012,13 (17/RFC 6455),," Mozilla Public License, Mozilla Public License, Mozilla Public License "," C++, C++ "," JavaScript, JavaScript ",No,Yes,Yes,Yes,No," No, No ",No,Yes,No,No,< 2 GB (memory-limited?)
Achex WS[3],Yes,Yes,2.17 17 June 2014,RFC 6455,,Commercial software,C++," C++, C++ ",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,2^16
Kaazing WebSocket Gateway[4],Yes,Yes,5.0 Dec 2014,RFC 6455,," Apache License (Community Edition), Apache License (Enterprise Edition) "," Java (programming language), Java (programming language) "," JavaScript, JavaScript, JavaScript, JavaScript &amp; JavaScript, JavaScript, Java &amp; JavaScript, JavaScript, JavaScript ",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No," memory-limited, configurable "
LightstreamerLightstreamer,Yes,Yes,7.1.2 25 Sep 2020,RFC 6455,," Commercial software, Commercial software ",Java (programming language)," JavaScript, JavaScript, JavaScript, JavaScript, JavaScript, JavaScript, JavaScript, JavaScript, JavaScript, JavaScript, JavaScript ",Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No," Data driven, configurable "
MigratoryData[6],Yes,Yes,5.0.28 23 Aug 2019,RFC 6455,,Commercial software,Java (programming language)," JavaScript, JavaScript, JavaScript, JavaScript, JavaScript, JavaScript, JavaScript, JavaScript, JavaScript, JavaScript ",Yes,Yes,No,Yes,No," No, No ",Yes,Yes,Yes,No," 263, configurable "
NoPoll (page does not exist)NoPoll (page does not exist),Yes,Yes,0.3.2 28 aug 2015,RFC 6455,,GNU Lesser General Public License 2.1,ANSI C,ANSI C,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes," memory-limited, configurable "
POCO C++ LibrariesPOCO C++ Libraries,Yes,Yes,1.4.6 23 Sep 2014,RFC 6455,,Boost (C++ libraries)," C++, C++ ",C++,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes," memory-limited, configurable "
PowerWebSockets[9],Yes,Yes,15.176.5188 26 Jun 2015,RFC 6455,Test report[10],Commercial software,.NET Framework," .NET Framework, .NET Framework, .NET Framework. .NET Framework, .NET Framework..NET Framework, .NET Framework, .NET Framework, .NET Framework ",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes," memory-limited, configurable "
QtWebSockets[11],Yes,Yes,1.0 12 Nov 2013,RFC 6455,,GNU Lesser General Public License," C++, C++ ",Qt (software),Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes," memory-limited, configurable "
RingSocket[12],No,Yes,1.0 13 Sep 2019,RFC 6455,,MIT License,C (programming language),C (programming language),Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,unlimited/configurable
Resin ServerResin Server,No,Yes,4.026 29 Feb 2012,RFC 6455,," GNU General Public License, commercial "," Java (programming language), Java (programming language) ",Java (programming language),,Yes,Yes,Yes,No,Yes,No,Yes,No,No," memory-limited, configurable "
WebSocketListener[14],No,Yes,2.1.3 24 Nov 2014,RFC 6455,,MIT License," .NET Framework, .NET Framework "," .NET Framework, .NET Framework ",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Configurable
