Name,Latest release,Active,Software license,Type,Windows,macOS,Linux,XML editor?,Tree view?,XML editor?,XML editor?,XML Schema editors?,Syntax highlighting,Code folding,Autocomplete using Autocomplete,XPath search,XML diff/merge,Payment model,Full-featured free trial period
Adobe FrameMaker,2015,Yes,Proprietary software,Standalone,Yes,No,No,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,,?,Yes
Altova XMLSpy,2018,Yes,Proprietary software," Standalone Eclipse Plugin, Visual Studio Plugin ",Yes,No[1],No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,30 days
Content Assembly Mechanism,2015 (3.2.2),Yes,Open Source Software,Standalone,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,No,Yes,No,,,N/A,N/A
Emacs/ nxml-mode,current,?,GNU General Public License,Emacs mode,Yes,Yes,Yes,Yes,?,No,No,?,Yes,Yes,Yes,,,N/A,N/A
MadCap Flare,2019,Yes,Proprietary software,Standalone,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Perpetual and Subscription,Yes
Liquid XML Studio,2018 (16.1.19),Yes,Proprietary software,Standalone + Visual Studio Plugin,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes
Oxygen XML Editor,2019 (21.0),Yes,Proprietary software,Standalone + Eclipse Plugin[2]Web-App,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,30 days
Quark Author Web Edition on Quark Publishing Platform,2014 (10.5),Yes,Proprietary software,Web-App,Yes,Yes,Yes,No,Sections Only,Yes,Yes,?,No,No,No,,,?,N/A
Stylus Studio,2014 (X15 R2),Yes,Proprietary software,Standalone,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,?,Yes
Xeditor,2.0,Yes,Proprietary software,Web-app,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,,,?,Yes
Xerlin,2005 (1.3),No,Open Source Software,Standalone,Yes,Yes,Yes,?,?,?,?,?,?,?,?,,,N/A,?
XMetaL,2018 (13.0),Yes,Proprietary software,Standalone,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,?,Yes
XML Notepad,2017 (2.7.1),Yes,Microsoft Public License,Standalone,Yes,No,No,Yes,Yes,Yes,?,?,?,?,Yes,,,?,Yes
