Package,License,Microsoft Windows,OS X,Linux,Market focus,Type,Structure
24SevenOffice,Software as a Service,Yes,Yes,Yes,Low to mid-market," Enterprise resource planning, Enterprise resource planning, Enterprise resource planning, Enterprise resource planning, Enterprise resource planning, Integrated Enterprise resource planning ",Web-based
Acumatica,Proprietary software and Proprietary software,Yes,Yes,Yes,Mid-market," Enterprise resource planning, CRM, E-Mail, Project Management, Integration, Notification, Employee ",Web-based
AME Accounting Software,Proprietary software,Yes,No,No,Low to mid-market," Payroll, Payroll, Payroll, Payroll, Payroll, Small Business Accounting ",Stand-alone
Aplos Software,Proprietary software,Yes,Yes,Yes,Low to mid-market nonprofit and faith-based organizations," Fund Accounting, Fund Accounting, Fund Accounting, Fund Accounting, Fund Accounting, Fund Accounting accounting, Fund Accounting ",Web-based
Baan Corporation,Proprietary software,Yes,Yes,Yes,Mid to Low-market,Enterprise resource planning,Stand-alone and web-based
CGram Software,Proprietary software,Yes,Yes,Yes,Low to mid-market,Financials; Financials; Financials;Financials; Multicompany; Multicurrency; Financials; Financials; Financials; Financials; Financials,Stand-alone
Cheqbook,Software as a Service,Yes,Yes,Yes,Low to mid-market," Double-entry bookkeeping system, Double-entry bookkeeping system, Double-entry bookkeeping system, Small Business Accounting, Double-entry bookkeeping system, Double-entry bookkeeping system, Double-entry bookkeeping system, Bank Reconciliation, Automatic bank feeds, Journal entries, Check printing, Online payment processing ",Web-based
CODA (company),Proprietary software,Yes,No,Yes,Mid-market,General ledger; General ledger; General ledger; General ledger; General ledger; etc.,Stand-alone/Web Access
Comarch,Proprietary software,Yes,No,No,Low to mid-market," Enterprise resource planning; Enterprise resource planning; Enterprise resource planning, Multi-Currency, Multi-Language, Double-entry bookkeeping system, Enterprise resource planning; Enterprise resource planning; Enterprise resource planning; Enterprise resource planning; Enterprise resource planning; Enterprise resource planning; Enterprise resource planning; Enterprise resource planning; Enterprise resource planning; Enterprise resource planning ",Stand-alone / Web access
NCH Software from NCH Software,Proprietary software,Yes,Yes,No,Low to mid-market,Business Accounting and Invoicing,Stand-alone/Web access
FinancialForce.com,Software as a Service,Yes,Yes,Yes,Mid-market to enterprise," Enterprise resource planning, ordering &amp; billing, accounts receivable, accounts payable, cash management, general ledger, reporting &amp; dashboarding, multi-currency, multi-company, global tax, analytics ",Web-based
FlexAccount,Proprietary software,Yes,No,No,Mid- to high-end market," Enterprise resource planning, Manufacturing, Intercompany, Multicurrency, Budgeting, Reporting, Analysis ",Stand-alone and Web-based
FreeAgent (software),Software as a Service,Yes,Yes,Yes,Freelancers and Freelancers," Double-entry bookkeeping system, small business accounting, time tracking, project management, invoicing, expense management, bank feeds, payroll, stock, HMRC tax filing ",Web-based
FreshBooks,Software as a Service,Yes,Yes,Yes,Small Businesses (Small Businesses),Cloud accounting specialist for small business owners.,Web-based
