Company,Software,On-demand scan,Real-time protection,Firewall (computing),Antispam,Web protection,Privacy Advisor,AntiTheft,Call/SMS Filtering,Backup,Parental Control,Support,AV-Comparatives,AV-TESTAV-TEST,Software license,Price,First release,Country of origin,Notes
AhnLab Inc,AhnLab Inc,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Proprietary software,?,2010,South Korea,
Avast Software,Avast Antivirus,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Proprietary software,Free,2011,Czech Republic,
Avast Software,Avast Antivirus,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Proprietary software,Non-free,2013,Czech Republic,
AVG Technologies (Grisoft),AVG (software),Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Proprietary software,Free,2010,Czech Republic,
Avira,Avira,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Proprietary software,Free,2004,Germany,
Bitdefender,BitDefender,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Proprietary software,Freemium,2011,Romania,
Cheetah Mobile,Security Master,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Proprietary software,Free of charge,2012,China,Earlier it is known as CM Security[11]
Comodo Group,Comodo Mobile Security,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Proprietary software,Free,2012,United States,
Dr. Web,Dr. Web,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Proprietary software,Trialware,2010,Russia,
ESET,NOD32,Yes,Yes,No,Yes," Partially, only Anti-Phishing",Yes,Yes,Yes,No,No,Yes,Yes,Yes,Proprietary software,FreemiumFreemium,2011,Slovakia,
F-Secure,F-Secure,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Proprietary software,Non-free,2010,Finland,
G Data Software,G Data Software,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Proprietary software,Non-free,2012,Germany,
Kaspersky Lab,Kaspersky Mobile Security,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Proprietary software,Non-free,2011,Russia,Banned by Federal government of the United States
Kaspersky Lab,Kaspersky Tablet Security (page does not exist),Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Proprietary software,Non-free,2011,Russia,Banned by Federal government of the United States
McAfee,McAfee,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Proprietary software,Non-free,2011,United States,
Qihoo 360,360 Mobilesafe (page does not exist),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Proprietary software,Free,2009,China,
Quick Heal,Quick Heal Mobile Security (page does not exist),Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Proprietary software,Free,2012,India,
Sophos,EndUser Protection,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Proprietary software,Non-free,2011,United Kingdom,
Sourcefire,Sourcefire,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Proprietary software,?,2012,United States,
NortonLifeLock,Norton Mobile Security (page does not exist),Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Proprietary software,Non-free,2011,United States,
Trend Micro,Trend Micro,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Proprietary software,Non-free,2012,Japan,
TrustPort,TrustPort,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Proprietary software,Freemium,2012,Czech Republic,
Webroot,SecureAnywhere Mobile,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Proprietary software,Freemium,2012,United States,
Company,Software,On-demand scan,Real-time protection,Firewall (computing),Antispam,Web protection,Privacy Advisor,AntiTheft,Call/SMS Filtering,Backup,Parental Control,Support,AV Comparatives,AV-Test,Software license,Price,First release,Country of origin,Notes
