Virtual machine,Model of computation,Memory management,Secure coding,Interpreter (computing),Just-in-time compilation,Ahead-of-time compilation,Shared library,Common Language Object Model,Dynamic typing
Android Runtime (ART),Register machine,automatic,Yes,Yes,Yes,Yes,?,Yes,Yes
Common Language Runtime (CLR),Stack machine,automatic or manual,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Dis virtual machine (Dis virtual machine),Register machine,automatic,Yes,Yes,Yes,Yes,Yes,Yes,Yes
DotGNU DotGNU,Stack machine,automatic or manual,Yes,Yes,Yes,Yes,Yes,Yes,No
Java virtual machine (JVM),Stack machine,automatic,Yes,Yes,Yes,Yes,Yes,Yes,Yes[1]
JikesRVM,Stack machine,automatic,Yes,Yes,Yes,Yes,?,Yes,Yes
LLVM,Register machine,manual,No,Yes,Yes,Yes,Yes,Yes,No
Mono (software),Stack machine,automatic or manual,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Parrot virtual machine,Register machine,automatic,No,Yes,No[2],Yes,Yes,Yes,Yes
Dalvik virtual machine,Register machine,automatic,Yes,Yes,Yes,No,?,No,No
Squeak,Stack machine,automatic,No,Yes,Yes,No,Yes,No,Yes
BEAM (Erlang virtual machine) (BEAM (Erlang virtual machine)),Register machine,automatic,?,Yes,Yes,Yes,Yes,Yes,Yes
MoarVM,Register machine,automatic,?,Yes,Yes,Yes,Yes,Yes,Yes
