Audio codec,Microsoft Windows,MacOS,Linux,BSD,Unix,Palm OS,Symbian OS,Rockbox,IOS,Android (operating system)Android (operating system),Chromium OSChromium OS
Advanced Audio Coding,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Dolby AC-3,Yes,?,Yes,?,?,?,?,?,Yes,?,?
Apple Lossless,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No
Audio Lossless Coding,?,?,?,?,?,?,?,?,?,?,?
AptX,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No
CELT,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
E-AC3,Yes,?,?,?,?,?,?,?,Yes,?,?
FLAC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Monkey's Audio,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No
MPEG-1 Audio Layer 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Musepack,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
Opus (codec),Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes
RealAudioRealAudio,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
Speex,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
Vorbis,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes
TTA (codec),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes
WavPack,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,No,No
Windows Media AudioWindows Media Audio,Yes,Yes[46],Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,No
