Audio player,ID31,ID32,APEv2 tag,Vorbis comment,Cue sheet (computing),CD-Text,WAVE chunks
AIMP,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Amarok (audio),Yes[metadatanotes 1],Yes[metadatanotes 1][metadatanotes 2],Yes[metadatanotes 1],Yes,Yes[metadatanotes 3],?,Yes
Audacious (software),Yes,Yes,Yes,Yes,Yes,Yes,?
Audion (software),Yes,Yes,No,No,?,?,?
Cmus,Yes,Yes,Yes,Yes,Yes,No,?
Cog (software),Yes,Yes,Yes,Yes,Yes,?,?
Foobar2000,Yes,Yes,Yes,Yes,Yes,Yes[metadatanotes 4],Yes
ITunes,Yes,Yes,Yes,?,?,?,?
JRiver Media Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
JuK,Yes[metadatanotes 1],Yes[metadatanotes 1],Yes[metadatanotes 1],Yes[metadatanotes 1],?,?,?
MediaMonkey,Yes,Yes,Yes,Yes,?,Yes,?
Mixxx,Yes,Yes,Yes,Yes,No,No,Yes
MPXPLAY,Yes,Yes,Yes,Yes,?,?,?
MusicBee,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Musicmatch Jukebox,Yes,Yes,No,?,?,Yes,?
MusikCube,Yes,Yes,Yes,?,?,?,?
Quod Libet (software),Yes,Yes,Yes,Yes,No,No,Yes
Rhapsody (online music service),Yes,Yes,No,No,?,?,?
Rhythmbox,Yes,Yes,Yes,Yes,?,?,?
Sonique (media player),Yes,No,?,?,?,?,?
XMMS,Yes,Yes,No,Yes,?,?,?
Zinf,Yes,Yes,No,Yes,?,?,?
Audio player,ID3v1,ID3v2,APEv2 tag,Vorbis comment,Cue sheet,CD-Text,WAVE chunks
