Audio player,Video playback,Outbound streaming,Skinnable,Media database,Gapless playback audio decoding,Music visualization,Remote controllable,Intelligent playlists from database (based on criteria)
AIMP,No,via Plugins,Yes,Yes,Yes,Yes,via Plugins,No
Amarok (audio),Partial[featurenotes 1],Yes,Partial[featurenotes 2],Yes,Yes,Yes,Yes,Yes
Audacious (software),No,No,Yes,No,Yes,Yes,Yes,No
Audion (software),No,No,Yes,No,?,Yes,?,No
Cmus,No,No,Yes,Yes,Yes,No,Yes,No
Cog (software),No,No,No,No,Yes,No,Yes,No
Clementine (software),No,No,No,Yes,Yes,Yes,Yes,Yes
Exaile,No,?,No,Yes,Yes,No,Yes[17],Yes
Foobar2000,No,Partial[a],Yes[featurenotes 3],Yes,Yes,Yes,Partial[a],Yes
ITunes,Yes,Yes,Partial[a],Yes,Yes,Yes,Yes,Yes
JRiver Media Center,Yes,via Plugins,Yes,Yes,Yes,Yes,via Plugins,Yes
JuK,No,No,No,Yes,No,No,Yes[featurenotes 4],?
MediaMonkey,Yes,Partial[a],Yes,Yes,Yes,Yes,Partial[a],Yes
MPXPLAY,Yes (with MMC v2.00a),?,text-interface,Yes,Yes,Yes,Yes (also LCD ability),?
Music Player Daemon,No,Yes,Client dependent,Yes,Yes,Client dependent,Yes,Client dependent
MusicBee,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Musicmatch Jukebox,No,No,Yes,Yes,?,Yes,Yes,?
MusikCube,No,No,No,Yes,No,Partial[a],?,Yes
Quod Libet (software),No,No,No,Yes,Yes,No,Yes,Yes
Rhapsody (online music service),No,No,No,Yes,?,No,?,?
Rhythmbox,No,No,No,Yes,Yes,Yes,Yes,Yes
Sayonara Player,No,?,No (Dark Mode available),Yes,Yes,Yes,No,Yes
Sonique (media player),Partial[a],No,Yes,No,No,Yes,?,No
Spotify,Yes,?,No,No,Yes,No,Yes (via app),No
Winamp,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
XMMS,Partial[a],Partial[a],Yes,No,Partial[a],Yes,Yes,No
Xmplay,Partial[a],Partial[a],Yes,No,Yes,Yes,No,No
Zinf,No,No,Yes,Yes,?,No,?,?
Audio player,Video playback,Outbound streaming,Skinnable,Media database,Gapless audio decoding,Visualizer,Remote controllable,Intelligent playlists from database (based on criteria)
