Audio player,ReplayGain,Tag editor,Tag flexible[featurenotes 5],Audio timescale-pitch modification,Audio timescale-pitch modification,A-B repeat,Bookmark,Auto resume,Shutdown on play complete,Archive ability
AIMP,Yes,Yes[featurenotes 6],Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
Amarok (audio),Yes,Yes,Yes,No,No,Yes[featurenotes 7],Yes,Yes,No,No
Audacious (software),Yes,No,No,Yes,Yes,Yes,No,Yes,No,No
Audion (software),?,?,?,?,?,?,?,?,?,?
Cmus,Yes,No,No,No,No,No,No,Yes,No,No
Cog (software),?,?,?,?,?,?,?,?,?,?
Clementine (software),Yes,Yes,No,No,No,?,No,No,No,No
Exaile,Yes,Yes,Yes[18],No,No,Yes[a],Yes[a],Yes,Yes[a],No
Foobar2000,Yes,Yes,Yes,Yes[a],Yes[a],Yes[a],Partial[a],Yes,Partial[a],Yes
ITunes,Yes,Yes,No,No,No,No,Yes,Yes,No,No
JRiver Media Center,Yes,Yes,Yes,Yes,Yes,Yes[featurenotes 8],Yes,Yes,Yes,No
JuK,?,?,?,?,?,?,?,?,?,?
MediaMonkey,Yes,Yes,Yes,Partial[a],Partial[a],Partial[a],Partial[a],Yes,Yes,?
MPXPLAY,?,?,?,?,?,?,?,?,?,?
MusicBee,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes
Musicmatch Jukebox,?,Partial[featurenotes 9],?,No,No,?,?,?,?,?
MusikCube,?,?,?,?,?,?,?,?,?,?
Quod Libet (software),Yes,Yes,Yes,Partial[featurenotes 10],Partial[featurenotes 10],No,Yes,Yes,No,No
Rhapsody (online music service),?,?,?,?,?,?,?,?,?,?
Rhythmbox,Yes,Yes,No,No,No,No,No,Yes,No,No
Sayonara Player,Yes,Yes,No,No,No,?,Yes,Yes,?,?
Sonique (media player),No,No,?,Yes,Yes,No,No,No,No,?
Spotify,No,No,No,No,No,No,No,Yes,No,No
Winamp,Yes,Yes,?,No,Yes,?,Yes,?,No,?
XMMS,Partial,Yes,?,No,No,No,No,Yes,No,No
Xmplay,Yes,No,No,No,No,No,Yes,Yes,No,Yes
Zinf,?,?,?,?,?,?,?,?,No,?
Audio player,ReplayGain,Tag mass,Tag flexible,Time stretch,Pitch shift,A-B repeat,Bookmark,Auto resume,Shutdown on play complete,Archive ability
