Audio player,Adobe Flash,RealPix,QuickTime Video Effects in mov,HTML+TIME(+VML),Synchronized Multimedia Integration Language,SVG,MIDI(smf),MIDI(kar),MIDI(xmf),MIDI(rmi),MIDI(xmi),NES Sound Format,SPC700 sound format (page does not exist),Portable Sound Format
AIMP,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Amarok (audio),?,?,?,?,?,?,?,?,?,?,?,?,?,?
Audacious (software),No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes
Audion (software),?,?,?,?,?,?,?,?,?,?,?,?,?,?
Cmus,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Cog (software),?,?,?,?,?,?,?,?,?,?,?,?,?,?
Foobar2000,No,No,No,No,No,No,Yes (plugin),?,?,Yes (plugin),Yes (plugin),Yes (plugin),Yes (plugin),Yes (plugin)
JuK,?,?,?,?,?,?,?,?,?,?,?,?,?,?
JRiver Media Center,?,?,?,?,?,?,?,?,?,?,?,?,?,?
MediaMonkey,?,?,?,?,?,?,?,?,?,?,?,Yes (Winamp plugin),Yes (Winamp plugin),Yes (Winamp plugin)
MPXPLAY,?,?,?,?,?,?,?,?,?,?,?,?,?,?
MusicBee,?,?,?,?,?,?,?,?,?,?,?[f],Yes,?,?
Musicmatch Jukebox,?,?,?,?,?,?,?,?,?,?,?,?,?,?
MusikCube,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Rhapsody (online music service),?,?,?,?,?,?,?,?,?,?,?,?,?,?
Rhythmbox,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Sonique (media player),?,?,?,?,?,?,?,?,?,?,?,?,?,?
XMMS,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Zinf,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Audio player,Flash,RealPix,QuickTime Video Effects in mov,HTML+TIME(+VML),smil/smi,SVG,MIDI(smf),MIDI(kar),MIDI(xmf),MIDI(rmi),MIDI(xmi),NSF,SPC,PSF
