Software,Microsoft Windows,,,,,,,,,Darwin (operating system)/ Darwin (operating system),Linux,,,,IBM,,,,HP-UX,Illumos/ Illumos
,Windows 2000,Windows XP,Windows Vista,Windows 2003 Server,Windows Server 2008 R2,Windows Server 2008,Windows Server 2012,Windows 7,Windows 8,,Red Hat Enterprise Linux,SUSE Linux Enterprise Server,Ubuntu (operating system),CentOS,AIX operating system,OS/390,I5/OS,Z/OS,,
AdroitLogic UltraESB,Yes[13],Yes[13],Yes[13],Yes[13],Yes[13],Yes[13],Yes[13],Yes[13],Yes[13],Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes
Mule (software),No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
Artix ESB," with SP3, SP4 "," with SP1, SP2 ",,Yes,,,,,,No,Yes,Yes,,,Yes,,No,Yes,Yes,Yes
Automation Anywhere Integration Pack,Yes,Yes,Yes,Yes,,,,,,No,No,No,,,No,No,No,No,No,No
BizTalk Server,Yes[14],Yes[15],Yes[16],Yes[17],Yes[18],Yes[19],Yes[20],Yes[21],Yes[22],No,No,No,,,No,,No,No,No,No
Flow (software),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,No,No,,,No,No,No,No,No,No
IBM Integration Bus IBM Integration Bus,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes
JBoss ESB (ESB),Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,,,Yes,,,,Yes,Yes
JBoss Enterprise SOA Platform,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,,,Yes,,,,Yes,Yes
Informatica,Yes,Yes,Yes,Yes,,,,,,,Yes,Yes,,,Yes,,Yes,Yes,Yes,Yes
Openadaptor,Yes,Yes,,Yes,,,,,,Yes,Yes,Yes,,,Yes,,,,Yes,Yes
OpenESB,Yes,Yes,,Yes,,,,,,Yes,Yes,Yes,,,Yes,No,No,No,Yes,Yes
Virtuoso Universal Server,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
Oracle BPEL Process Manager,Yes,Yes,,Yes,Yes,,Yes,Yes,,,Yes,Yes,,,5L,,No,No,Yes,Yes
Oracle Enterprise Service Bus,Yes,Yes,,Yes,Yes,,Yes,Yes,,,Yes,Yes,,,Yes,,No,No,Yes,Yes
OW2 PEtALS,Yes,Yes,,Yes,,,,,,Yes,Yes,Yes,,,Yes,No,No,No,Yes,Yes
SAP Exchange Infrastructure,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,,,Yes,No,Yes[24],Yes,Yes,Yes
ServiceMix,Yes,with SP2,Yes,Yes,,,,,,Yes,Yes,Yes,,,Yes,No,No,No,Yes,Yes
Progress Software,Yes,Yes,Yes,Yes,,,,,,,Yes,Yes,,,Yes,No,No,No,Yes,Yes[25]
Spagic,Yes,Yes,,Yes,,,,,,Yes,Yes,Yes,,,Yes,No,No,No,Yes,Yes
Java Enterprise System,Yes,Yes[26],,Yes,,,,,,,Yes,Yes,,,Yes,No,No,No,Yes,Yes
Tracker (Business Software),No,with SP2,Yes,Yes,,,,,,,,,,,,,,,,
Unify NXJ,with SP4,with SP1,,Yes,,,,,,No,Yes,Yes,,,5.3,,No,No,Yes,Yes
WSO2 Enterprise Service Bus (ESB),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes
