Shell,Subroutine,Exception handling,Search &amp; replace on variable substi­tutions,Arithmetic,Floating point,Math function library,Array data type or Array data type,Associative array,Lambda calculus,Eval,Pseudorandom number generator,Bytecode
Bourne shell 1977 version,No,Yes (via trap),No,No,No,No,No,No,No,Yes,No,No
Bourne shell current version,Yes since SVR2,Yes (via trap),No,Yes[nb 8],No,No,No,No,No,Yes,No,No
POSIX shell,Yes,Yes (via trap),No,Yes,No,No,No,No,No,Yes,No,No
Bash (Unix shell) (v4.0),Yes,Yes (via trap),Yes (via ${//} syntax),Yes,No,No,Yes,Yes,No,Yes,Yes ( $RANDOM),No
C shell,No,No,Yes (via $var:s/// syntax),Yes,No,No,Yes,No,No,Yes,No,No
Tcsh,No,No,Yes (via $var:s/// syntax),Yes,No,No,Yes,No,No,Yes,No,No
Hamilton C shell,Yes,No,Yes (via $var:s/// syntax),Yes,Yes,Yes,Yes,No,No,Yes,Yes (random utility),No
Scsh,Yes,?,Yes (via string functions and regular expressions),?,?,?,Yes,?,Yes,Yes," Yes (random-integer, random-real) "," Yes (compiler is Scheme48 virtual machine, via scshvm) "
Korn Shell (ksh93t+),Yes,Yes (via trap),Yes (via ${//} syntax and builtin commands),Yes,Yes,Yes,Yes,Yes,No,Yes,Yes ( $RANDOM),Yes (compiler is called shcomp)
Pdksh,Yes,Yes (via trap),No,Yes,No,No,Yes,No,No,Yes,Yes ( $RANDOM),No
Zsh,Yes,Yes,Yes (via ${:s//} and ${//} syntax),Yes,Yes,Yes ( zsh/mathfunc module),Yes,Yes,No,Yes,Yes ( $RANDOM),Yes (built-in zcompile command)
Almquist shell,Yes,Yes (via trap),No,Yes (since 1992)[44],No,No,No,No,No,Yes,No,No
CCP (CP/M),No,?,No,No,?,?,No,No,No,No,No,No
COMMAND.COM,No,Partial (only Auto-fail (via COMMAND /F (or /N in some versions of DR-DOS)),No,No,No,No,No,No,No,No,No,No
OS/2 CMD.EXE,No,No,No,?,No,No,?,No,No,No,No,No
Windows CMD.EXE,Yes (via CALL :label),No,Yes (via SET % varname : expression  syntax),Yes (via SET /A)[45],No,No,Yes (via SET[46]),No,No,No,Yes ( %random%),No
4DOS,Yes," Yes (via ON command, optional Auto-fail via 4DOS /F) ",Yes (via %@Replace[...] function),Yes (via SET /A),?,?," Yes (via ranges, include lists, @file lists and FOR command) ",No,No,Yes,Yes ( %@Random[...] function),Yes (via BATCOMP command)
4OS2,?,?,?,?,?,?,?,?,No,Yes,Yes ( %@Random[...] function),?
Take Command Console (formerly 4NT),Yes,Yes (via ON and various ...MONITOR commands),Yes (via %@Replace[...] function),Yes (via SET /A),?,?," Yes (via ranges, include lists, @file lists and FOR command) ",?,No,Yes,Yes ( %@Random[...] function),Yes (via BATCOMP command)
Windows PowerShell,Yes,Yes (Try-Catch-Finally),Yes ( -replace operator),Yes,Yes,[Math] class[47],Yes,Yes,Yes,Yes,Yes," Yes, automatic "
Rc,Yes,Yes,No,?,?,?,Yes,?,No,Yes,No,No
BeanShell,Yes,Yes,?,Yes,?,?,Yes,Yes,No,Yes,Yes,Yes
DIGITAL Command Language,Yes,Yes,No,Yes,No," yes, for compiled programs ",Yes,No,No,No,No,No
Friendly interactive shell,Yes,Yes (via trap),No,Yes,Yes,Yes,Yes,No,No,Yes,Yes ( random),No
