,Sensor,2004,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,
,,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
Professional,Full-frame DSLR,,,,,,,,,,,,,,,,,,Sony Alpha 900,,,,,,,,,,,,,,,,Sony α99,,,,,,,,,,,,,,,,Sony α99 II,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Sony Alpha 850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,High-end,APS-C,Konica Minolta DG-7D,,,,,,,,,,,,Sony α700,,,,,,,,,,,,,,,,Sony Alpha 77,,,,,,,,,,,Sony α77 II,,,,,,,,,,,,,,,,,,
Midrange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sony Alpha 65,,,,,,,,,,,,,,,,,,Sony Alpha 68,,,,,,,,,,,
Upper-entry,,,,,,,,,,,,,,,,,,,,,,,,,,Sony Alpha 55,,,,,,,Sony Alpha 57,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Sony Alpha 100,,,,,,,,,,,,Sony Alpha 550,,,,Sony Alpha 580,,,,,,,,,,,,Sony Alpha 58,,,,,,,,,,,,,,,,,,,,,
,,,,Konica Minolta DG-5D,,,,,,,,,,,,,,,,Sony Alpha 500,,,,Sony α560 (page does not exist),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Sony α450 (page does not exist),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entry-level,,,,,,,,,,,,,,,,,,,,,,,,,Sony α33,,,,Sony α35 (page does not exist),,,,Sony α37,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Sony Alpha 350,,,,,Sony α380 (page does not exist),,,,Sony α390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Sony Alpha 300,,,,,Sony α330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Sony Alpha 200,,,,,Sony Alpha 230,,,,Sony Alpha 290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Early models,Minolta 7000 (1986) · Minolta 7000 (1986) (Minolta 7000)  Minolta 7000 (1992) · Minolta 7000 (1995),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
