,OMFI,Advanced Authoring Format,Musical Instrument Digital Interface,WAV,MP3,Advanced Audio Coding,Ogg,REX2,AIFF,FLAC,Others
Acoustica (software),No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,W64
Ardour (audio processor),No[3],No[4],Yes,Yes,Yes,No,Yes,Unknown,No,Yes," W64, libsndfile library formats[5] "
Audacity (audio editor),No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,AMR
AudioDesk,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Digidesign (native)
Audiotool,No,No,No,Import,Export,No,Export,No,No,No,
Adobe Audition,Yes,Unknown,No (unsupported since CS5),Yes,Yes,Yes,Yes,No,Yes,Yes," AU, IFF, RAW/PCM, SMP, VOC, VOX, WMA "
BIAS Peak,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Bitwig Studio,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Cakewalk Sonar,Yes,No,Yes,Yes,Yes,Import,Yes,Yes,Yes,Yes," W64, CAF, SDII, AU, SND, DSF, DFF, RCY, ASF, WMA, WMV "
Steinberg Cubase,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes," WMA, W64 "
Diamond Cut Audio Restoration Tools,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Digital Performer,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,SDII (native)
Ecasound,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
FL Studio,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Import,Yes," XI, REX, REX2 "
GarageBand,No,No,Yes[6],Unknown,Yes,Yes,Unknown,Unknown,No,No,
Goldwave,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Yes,Unknown,Yes,Yes," Windows Media Audio, AU, Monkey's Audio, VOX, mat, snd, voc "
Harrison Mixbus,No,No,Yes,Yes,Unknown,Unknown,Yes,Unknown,No,Yes," AIFC, NeXT AU/SND, Headerless RAW, PAF, IFF/SVX, Sphere Nist WAV, IRCAM SF, VOC, W64, MAT4, MAT5, PVF, Fasttracker 2 XI, HMM Tool Kit HTK, CAF, SD2 "
Jokosher,No,No,No,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,
KRISTAL Audio Engine,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Ableton Live,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,SDII (Mac OS X Only)
LMMS,Unknown,Unknown,Yes,Yes,Yes,Unknown,Yes,Unknown,Yes,Yes," AU, DS, RAW, SPX, VOC. Can also open .flp files "
Logic Express/Logic Express,Partial,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,Yes,
Mixcraft,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,
Mp3DirectCut,No,No,No,No,Yes,No,No,No,No,No,
MuLab (MuTools),No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,
MusE,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
N-track,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes," WMA, EDL, WAV64 "
Nuendo,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,
NU-Tech,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Zynewave Podium,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Pro Tools,Yes[7],Yes[7],Yes,Yes,Yes,Import,Import,Yes (7.4),Yes,No,SDII (Mac OS X Only)
Qtractor,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes," CAF, HTK, IFF/8SVX, MAT4/5, PAF, PVF, RAW, SDII, SDS, SF, VOC, W64, XI "
REAPER,Partial,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes," APE, BWF, MOOG, W64, WavPack "
Reason (software),No,No,Yes,Yes,Import,Import,No,Yes,Yes,No," SF2, ReFill "
Record (software),No,No,Yes,Yes,No,No,No,Yes,Yes,No," SF2, ReFill "
Renoise,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes," MP4, MP4A, CAF, SFZ "
RiffWorks,No,No,No,Export,No,No,Export,Yes,No,No,
Rosegarden,No,No,Yes[8],Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown," Csound, Mup, MuxicXML, h2song[9] "
Samplitude,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes," Windows Media Audio, RealAudio "
Sound Forge,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Yes," SWF (open only), RealAudio &amp; RealVideo (export only), WMA and WMV, AVI, AIF, SND, MPEG-1 and MPEG-2, AU, DIG, IVC, PCA, W64, FRG, VOX, AA3, OMA, CDA, AC-3 studio (save only), RAW "
Soundbooth,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Soundscape 32,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
SoX,Unknown,Unknown,Unknown,Yes,External LAME,Unknown,Yes,Unknown,Yes,Yes,AU and other audio file formats
SpectraLayers,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Yes," .caf, .alac, RAW/PCM, .rm, .au, .snd, AVI, MXF, MP1, MP2, MP4, MKV, Quicktime, .vob, .wmv, WMA "
Studio One (software),No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes," OpenTL (page does not exist), OpenTL (page does not exist), OpenTL (page does not exist), PreSonus Capture Session, Steinberg OpenTL (page does not exist) Track Archive, Steinberg Sequel Project, Kristal Audio Engine ProjectOpenTL (page does not exist) "
Sweep (software),No,No,No,Yes,Yes,No,Yes,No,Yes,Yes," Various versions of WAV (integer, floating point, GSM, and compressed formats); Microsoft PCM, A-law and u-law formats; AIFC and RIFX; various AU/SND formats (Sun/NeXT, Dec AU, G721 and G723 ADPCM); RAW header-less PCM files; Amiga IFF/8SVX/16SV PCM files; Ensoniq PARIS (.PAF); Apple's Core Audio Format (CAF) and others. "
Total Recorder,No,No,No,No,Yes,No,Yes,No,No,Yes," Pulse-code modulation (uncompressed), Pulse-code modulation, Pulse-code modulation (APE). "
Tracktion,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Traverso DAW,No,No,Unknown,Yes,Yes,Unknown,Yes,Unknown,No,Yes,WavPack
WaveLab,No,No,Controllers,Yes,Yes,Yes,Yes,No,Yes,Yes," AU, MP2, RAW "
