Application,ISO 9660,Joliet (file system),Rock Ridge,Rock Ridge,El Torito (CD-ROM standard),Apple ISO9660 Extensions,Universal Disk Format,Mount Rainier (packet writing)
Alcohol 120%,Yes,Yes,No,No,No,No,No,No
CDBurnerXP,Yes,Yes,No,No,No,No,Yes,No
Cdrtools,Yes,Yes,Yes,No,Yes,Yes,Yes,No
Express Burn Disc Burning Software,Yes,Yes,No,No,No,No,Yes,No
ImgBurn,Yes,Yes,No,No,Yes,No,Yes,No
InfraRecorder,Yes,Yes,?,?,?,?,Yes,?
K3b,Yes,Yes,Yes,?,Yes,No,Yes,No
Libburnia,Yes,Yes,Yes,No,Yes,No,No,No
Nero Burning ROM,Yes,Yes,No,No,Yes,Yes,Yes,Yes
UltraISO,Yes,Yes,?,?,?,?,Yes,?
X-CD-Roast,Yes,Yes,Yes,No,Yes,No,Yes,No
Application,ISO 9660,Joliet (file system),Rock Ridge,Rock Ridge,El Torito (CD-ROM standard),Apple ISO9660 Extensions,Universal Disk Format,Mount Rainier (packet writing)
