Application,Cue sheet (computing),.dmg,Disk image,ISO image,NRG (file format),Audio file/Audio file
Alcohol 120%,Yes,No,No,Yes,Yes,No
CDBurnerXP,Partial[1],No,No,Yes,Partial[1],Yes
Cdrtools,Yes,?,?,Yes,No,Yes
DeepBurner,?,?,?,Yes,?,?
Express Burn Disc Burning Software,No,No,No,Yes,No,No
ImgBurn,Yes,No,Yes,Yes,Yes,Yes
InfraRecorder,Yes,No,Yes,Yes,No,?
K3b,Yes,?,?,Yes,Yes,Yes
Libburnia,Yes,No,Yes,Yes,No,Yes
Nero Burning ROM,Yes,No,Partial,Yes,Yes,Yes
UltraISO,Yes,Yes,Yes,Yes,Yes,Yes
X-CD-Roast,?,?,?,Yes,?,?
Application,Disk image,.dmg,Disk image,ISO image,NRG (file format),Audio file/Audio file
