Name,CBC w/ predictable IVs,CBC w/ secret IVs,CBC w/ random per-sector keys,LRW,XTS,Authenticated encryption
Aloaha Crypt Disk,No,No,No,Yes,Yes,?
ArchiCrypt Live,No,No,No,Legacy support[123],Yes,?
BestCrypt,No,Yes,No,Yes[124],Yes[125],?
BitArmor DataControl,No,Yes,Plumb-IV,No,No,?
BitLocker,No[126],Yes[126],No,No," Yes, Windows 10 10547+ ",?
Bloombase Keyparc,?,Yes,?,?,?,?
CGD,No,Yes[127],No,No,No,?
CenterTools DriveLock,?,?,?,?,?,?
Check Point Full Disk Encryption,No,No,Yes,Yes,Yes,?
CipherShed,Legacy support[128],No,No,Legacy support[129],Yes[130],?
CrossCrypt,Yes,No,No,No,No,?
CryFS,No,No,Yes,No,No,?
CryptArchiver,?,?,?,?,?,?
Cryptic Disk,No,No,No,No,Yes,No
Cryhod,No,Yes,No,No,No,?
Cryptoloop,Yes,No,No,No,No,No
DiskCryptor,No,No,No,No,Yes,?
Dm-crypt / Dm-crypt,Yes,Yes,No," Yes, using *-lrw-benbi[131] "," Yes, using *-xts-plain "," Yes, using --integrity mode[132] "
DriveCrypt,?,?,?,?,?,?
DriveSentry GoAnywhere 2,?,?,?,?,?,?
E4M,?,?,?,No,No,?
e-Capsule Private Safe,?,?,?,?,?,?
eCryptfs,No,Yes,?,No,No,?
EgoSecure HDD Encryption,No,Yes,No,No,No,?
FileVault,Yes[86],No,No,No,No,?
FileVault,No,No,No,No,Yes[133],?
FREE CompuSec,Yes,No,No,No,No,?
FreeOTFE,Yes,Yes,No,Yes,Yes,No
GBDE,No,No,Yes[91],No,No,?
Geli (software),No,Yes[134],No,No,Yes,?
Loop-AES," single-key, multi-key-v2 modes[93] ",multi-key-v3 mode[93],No,No,No,No
McAfee Drive Encryption (SafeBoot),No,Yes,No,No,No,?
n-Crypt Pro,?,?,No,No,No,?
PGPDisk,?,?,?,?,?,?
Private Disk,No,Yes,No,No,No,?
ProxyCrypt,No,No,No,No,Yes,?
R-Crypto,?,?,?,?,?,?
SafeGuard Easy,?,?,?,?,?,?
SafeGuard Enterprise,?,?,?,?,?,?
SafeGuard PrivateDisk,?,?,?,?,?,?
SafeHouse Professional,Yes,No,No,No,No,?
Scramdisk,No,Yes,No,No,No,?
Scramdisk 4 Linux,No,Yes[135],No,Yes[136],Yes[137],?
SecuBox,Yes,No,No,No,No,?
SecureDoc,?,?,?,?,?,?
Sentry 2020,?,?,?,?,?,?
Seqrite Encryption Manager,No,Yes,No,Yes,Yes,?
Softraid / RAID C,?,?,?,?,Yes[138],?
Svnd / Vnconfig,?,?,?,?,?,?
NortonLifeLock Endpoint Encryption,No,No,Yes,No,No,?
TrueCrypt,Legacy support[128],No,No,Legacy support[129],Yes[139],No
USBCrypt,No,Yes,No,No,Yes,?
VeraCrypt,No,No,No,No,Yes,?
CyberSafe Top Secret,No,No,No,No,Yes,?
