,Microsoft Windows,OS X,Linux,BSD,Unix
Ddoc,Yes,Yes[a],Yes,Yes[a],No
Document! X,Yes,No,No,No,No
Doxygen,Yes,Yes,Yes,Yes,Yes
Epydoc,Yes,Yes,Yes,Yes,Yes
Haddock (software),Yes,Yes,Yes,Yes,Yes
HeaderDoc,No,Yes,Yes,Yes,Yes
Imagix 4D,Yes,No,Yes,No,Yes
Javadoc,Yes,Yes,Yes,Yes,Yes
JSDoc,Yes,Yes,Yes,Yes,Yes
JSDoc,Yes,Yes,Yes,Yes,Yes
Mkd (Unix command),Yes,No?,Yes,Yes,Yes
Natural Docs,Yes,Yes,Yes,Yes,Yes
NDoc,Yes,No,No,No,No
Pandoc,Yes,Yes,Yes,Yes,Yes
Pdoc,Yes,Yes,Yes,Yes,Yes
Plain Old Documentation,Yes,Yes,Yes,Yes,Yes
PhpDocumentor,Yes,Yes,Yes,Yes,Yes
Pydoc,Yes,Yes,Yes,Yes,Yes
RDoc,Yes,Yes,Yes,Yes,Yes
ROBODoc,Yes,Yes,Yes,Yes,Yes
Sandcastle (software),Yes,No,No,No,No
Sphinx (documentation generator),Yes,Yes,Yes,Yes,Yes
Visual Expert,Yes,No,No,No,No
VSdocman,Yes,No,No,No,No
,Windows,OS X,Linux,BSD,Unix
