Client,Message templates,,,,,,Message templates individual for," Support in message templates scripts, programming languages ",,,,,,
,new,reply,forward,read confirmation,save,print,,JavaScript,VBScript,PHP Scripts,Python (programming language),Regular expression,Java (programming language),Other (specify)
Alpine (email client),Yes,Yes,Yes,?,?,?,any,No,No,No,No,?,No,?
Becky!,Yes,Yes,Yes,Yes,Yes,Yes,any account folder,?,?,?,?,?,?
Citadel/UX,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Claws Mail,Yes,Yes,Yes,Yes,Yes,Yes,account folder,No,No,No,Yes,?,?,Perl
Cone (software),Yes,No,No,No,No,No,?,No,No,No,No,No,No,No
Courier (email client),Yes,Yes,Yes,No,Yes,Yes,?,No,No,No,No,No,No,No
Elm (email client),?,?,?,?,?,?,?,?,?,?,?,?,?,?
EM Client,Yes,Yes,Yes,Yes,Yes,Yes,account,No,No,No,No,No,No,No
Eudora (email client),Yes,Yes,Yes,Yes,Yes,Yes,any,No,No,No,No,Yes,No,No
Evolution (software),Yes,Yes,Yes,Yes,Yes,Yes,?,?,?,?,?,?,?,?
Gnus,Yes,Yes,Yes,Yes,Yes,Yes,?,No,No,No,No,Yes,No,Elisp
GroupWise,Yes,No,No,Yes,Yes,?,?,?,?,?,?,?,?,?
Hiri (email client),Yes,Yes,Yes,No,Yes,Yes,any,No,No,No,No,No,No,No
Scribe Mail,Yes,Yes,Yes,No,No,No,any,No,No,No,No,No,No,Internal macros (similar to JavaScript)
IBM Lotus Notes,Yes,Yes,Yes,Yes,?,?,?,Yes,No,No,No,Yes[40],Yes," LotusScript, LotusScript "
KMail,Yes,Yes,Yes,No,No,No,none,?,No,No,No,?,?,?
Mailpile,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Microsoft Entourage,Yes,Yes,Yes,Yes,?,?,?,?,?,?,?,?,?," AppleScript, AppleScript "
Microsoft Office Outlook,Yes,Yes,Yes,Yes,?,?,?,No,No,?,No,?,No,?
Mozilla Mail &amp; Newsgroups,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Mozilla Thunderbird,Yes,Yes[Note 1],Yes[Note 1],Yes,Yes,Yes,profile,Yes,?,?,?,?,?,?
Mulberry (email client),Yes,Yes,Yes,Yes,?,?,?,No,No,No,No,?,?,?
Mutt (email client),Yes,Yes,Yes,No,?,?,any,No,No,No,No,Yes,?,Internal macros
Netscape Messenger,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Netscape Messenger 9,?,?,?,?,?,?,?,?,?,?,?,?,?,?
MH Message Handling System,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Opera Mail,No,No,No,No,No,No,N/A,No,No,No,No,No,No,No
Outlook Express,Yes,Yes,?,Yes,?,?,?,Yes,Yes,?,?,?,?,?
Pegasus Mail,Yes,Yes,Yes,Yes,?,?,?,?,?,?,?,?,?,?
Pine (email client),Yes,Yes,Yes,?,?,?,any,?,No,No,?,?,No,?
Pocomail,Yes,Yes,Yes,?,?,Yes,?,No,No,No,No,No,No,PocoScript
RoundCube,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,?
SeaMonkey Mail &amp; Newsgroups,?,?,?,?,?,?,?,?,?,?,?,?,?,?
SquirrelMail,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,?
Sylpheed,Yes,Yes,Yes,?,?,?,?,No,No,No,No,No,?,?
The Bat!,Yes,Yes,Yes,Yes,Yes,Yes,account folder address book group contact,Yes [Note 2],Yes [Note 3],Yes [Note 4],Yes [Note 5],Yes,PCRE 6.2,Internal and plugins macros
Turnpike (software),?,?,?,?,?,?,?,?,?,?,?,?,?,?
Windows Live Mail,Yes[Note 6],Yes[Note 6],?,Yes[Note 6],?,?,?,Yes,No,?,?,?,?,?
Windows Mail,?,?,?,?,?,?,?,?,?,?,?,?,?,?
YAM (Yet Another Mailer),Yes,Yes,Yes,?,Yes,Yes,?,No,No,No,No,?,?,ARexx
Zimbra,Yes,Yes,Yes,Yes,Yes,Yes,any,No,No,No,No,No,?,?
