Client,Regular,,MSN (NTLM) browser login,Compuserve (RPA),MD5 APOP [Note 1],CRAM-HMAC [Note 2],,,DIGEST-MD5,with hardware token PKCS11,Biometric,SMTP Auth [Note 3],X.509 X.509,OAUTH
,LOGIN,PLAIN,,,,MD5,SHA1,RIPEMD,,,,,,
Alpine (email client),Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,?
Apple Mail,Yes,Yes,No,No,?,?,?,?,?,?,Yes,Yes,Yes,?
Becky!,Yes,Yes,Yes,?,Yes,Yes,?,?,?,?,?,Yes,Yes,?
Citadel/UX,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Claws Mail,Yes,Yes,?,?,Yes,Yes,?,?,Yes,No,?,Yes,No,?
Cone (software),Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,?
Courier (email client),Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,?
Elm (email client),?,?,?,?,?,?,?,?,?,?,?,?,?,?
EM Client,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes
EmailTray,Yes,Yes,?,?,Yes,Yes,Yes,No,?,No,No,Yes,No,?
Eudora (email client),Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,?,?
Eureka Email,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Evolution (software),Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,?
Gnus,Yes,Yes,?,?,Yes,Yes,Yes,?,Yes,?,?,Yes,?,?
GroupWise,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Hiri (email client),Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes
Scribe Mail,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,?
IBM Lotus Notes,Yes,?,Yes,No,No,No,?,?,?,Yes,No,Yes,?,?
KMail,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,?
Mailpile,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Microsoft Entourage,Yes,No,Yes,?,?,Yes,?,?,?,Yes,?,Yes,Yes,?
Microsoft Office Outlook,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,?
Mozilla Mail &amp; Newsgroups,Yes,?,?,Yes,?,Yes,?,?,?,?,?,?,?,?
Mozilla Thunderbird,Yes,Yes,Yes,No,Yes,Yes,No,No,No[51],Yes,No,Yes,Yes,Yes
Mulberry (email client),Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,?
Mutt (email client),Yes,Yes,Yes,?,Yes,Yes,No,No,Yes,No,No,1.5.15,Yes,1.10.1
Netscape Messenger,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Netscape Messenger 9,?,?,?,?,?,?,?,?,?,?,?,?,?,?
MH Message Handling System,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Opera Mail,Yes,Yes,No,No,Yes,Yes,No,?,?,No,No,Yes,Yes,?
Outlook Express,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,?
Pegasus Mail,Yes,?,No,No,Yes,No,No,No,No,No,No,Yes,Yes,?
Pine (email client),Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,?
Pocomail,?,?,?,?,?,?,?,?,?,?,?,?,?,?
RoundCube,Yes,Yes,?,?,Yes,Yes,Yes,?,Yes,Yes,?,Yes,?,?
SeaMonkey Mail &amp; Newsgroups,Yes,Yes,Yes,No,Yes,Yes,No,No,No[51],Yes,No,Yes,Yes,?
SquirrelMail,Yes,Yes,?,?,Yes,Yes,Yes,?,Yes,Yes,?,Yes,?,?
Sylpheed,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No
The Bat!,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes [Note 4],Yes [Note 4],Yes,No,Yes
Trojitá,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,?
Turnpike (software),?,?,?,?,?,?,?,?,?,?,?,?,?,?
Windows Live Mail,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,?
Windows Mail,?,?,?,?,?,?,?,?,?,?,?,?,?,?
YAM (Yet Another Mailer),Yes,Yes,?,?,Yes,Yes,?,?,?,?,?,Yes,AmiSSL,?
Zimbra,Yes,Yes,?,?,Yes,Yes,?,?,?,Yes,?,Yes [Note 5],?,?
Client,Regular,,MSN (NTLM) browser login,Compuserve (RPA),MD5 APOP [Note 1],CRAM-HMAC [Note 2],,,DIGEST-MD5,with hardware token PKCS11,Biometric,SMTP Auth [Note 3],SSL/TLS Client Certificate,OAUTH
