Name,Developer/Manufacturer,Release Year,Current Model?
datAshur PRO,IStorage Limited (page does not exist),2015,Yes
datAshur PRO²,IStorage Limited (page does not exist),-,Yes
diskAshur PRO²,IStorage Limited (page does not exist),2017,Yes
SafeStick,BlockMaster (page does not exist),2004,Yes
SafeStick SuperSonic,BlockMaster (page does not exist),2009,Yes
IronKey S100,IronKey,2005,No
IronKey S200,IronKey,2009,Yes
IronKey D200,IronKey,2009,Yes
CryptX2,CryptX2 (page does not exist) / Open Source,2012,Yes
DataTraveler 5000,Kingston Technology,2010,Yes
DataTraveler Locker+,Kingston Technology,,Yes
DataTraveler Vault,Kingston Technology,,Yes
DataTraveler Vault – Privacy Edition,Kingston Technology,,Yes
JumpDrive SecureII Plus,Lexar,,Yes
IronClad,Lockheed Martin,2010,Yes
Cruzer Enterprise,SanDisk,,Yes
Store 'n' Go Corporate,Verbatim Corporation,,Yes
Kanguru Defender 2000,Kanguru Solutions (page does not exist),2012,Yes
