Client,Feed URI scheme,RSS (file format),RSS (file format),RSS (file format),RSS enclosure,Media RSS,Atom (standard),other format,Delta updates,IPv6,Auto updates
Akregator,?,Yes,Yes,Yes,Yes,Yes,Yes,?,No,Yes,Yes
Amarok (software),?,?,Yes,Yes,Yes,?,Yes,?,No,?,Yes
AOL Explorer,?,?,?,?,?,?,Yes,?,?,Yes,?
Avant Browser,?,?,?,?,?,?,Yes,?,?,Yes,?
Awasu,Yes,Yes,Yes,Yes,Yes,Yes,Yes,any XML format (via XSL),?,Yes,Yes
BlogBridge,?,?,?,?,?,?,?,?,?,?,?
Canto (news aggregator),?,Yes,Yes,Yes,Yes,?,Yes,?,?,?,Yes
Claws Mail,?,No,Yes,Yes,?,?,Yes,?,No,Yes,Yes
CommaFeed,Yes,Yes,Yes,Yes,Yes,Yes,Yes," RSS 0.90,  RSS 0.92,  RSS 0.93,  RSS 0.94,  Atom 0.3,  Atom 1.0[38] ",No,Yes,Yes
Cooliris (plugin),?,?,?,?,Yes,Yes,?,?,No,?,?
Feed Viewer,?,Yes,Yes,Yes,Yes,Yes,Yes," Channel Definition Format, Channel Definition Format ",No,Yes,Yes
FeedDemon,Yes,?,?,?,?,?,?,?,Yes,?,?
Feedreader (Windows Application),Yes,Yes,Yes,Yes,Yes,?,?,?,?,?,Yes
Flock (web browser),Yes,?,?,?,?,Yes,Yes,?,?,Yes,Yes
Gnus,?,Yes,Yes,Yes,?,?,No,Newsgroups,?,Yes,No
IBM Lotus Notes,?,Yes,Yes,Yes,?,?,Yes,?,?,Yes,?
Internet Explorer,No,Yes,Yes,Yes,Yes,?,Yes,Web Slice,Yes,Yes,Yes
ITunes,?,?,?,Yes,Yes,?,Yes,?,No,?,Yes
Juice (aggregator),?,?,?,?,Yes,?,?,?,No,?,?
K-Meleon,?,?,?,?,?,?,Yes,?,?,Yes,?
Kazehakase,?,?,?,?,?,?,?," LIRS (standard) (page does not exist), LIRS (standard) (page does not exist) ",?,Yes,?
Liferea,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes[39],Yes
Mail (OS X),?,?,?,Yes,?,?,Yes,?,No,Yes,Yes
Maxthon,?,?,?,?,?,?,Yes,?,Yes,Yes,?
MediaMonkey,?,?,?,?,Yes,?,?,?,?,?,?
Microsoft Office Outlook,?,Yes,Yes,Yes,?,?,Yes,?,Yes,Yes,Yes
Miro (software),?,?,?,?,Yes,Yes,?,?,?,?,?
Mozilla Firefox,?,Add-on,Add-on,Add-on,?,Add-on,Add-on,?,No,Add-on,Add-on
Mozilla Thunderbird,?,Yes,Yes,Yes,?,?,Yes,Newsgroup,No,Yes,Yes
NetNewsWire,Yes,?,?,?,?,?,?,?,No,?,?
Netscape Browser,?,?,?,?,?,?,Yes,?,No,Yes,Yes
Netscape Navigator 9,?,?,?,?,?,?,Yes,?,No,Yes,Yes
NewsAccess,?,?,?,?,?,?,?,?,No,?,?
NewsBlur,Yes,Yes,Yes,Yes,Yes,Yes,Yes," RSS 0.90,  RSS 0.92,  RSS 0.93,  RSS 0.94,  Atom 0.3,  Atom 1.0 ",Yes,Yes,Yes
NewsFire,?,?,?,?,?,?,?,?,?,?,?
OmniWeb,?,?,?,?,?,?,Yes,?,?,Yes,?
Opera Mail,Yes,Yes,Yes,Yes,Yes,Yes,Yes," RDF feed, RDF feed ",?,Yes,Yes
Pegasus Mail,?,Yes,Yes,Yes,?,?,?,?,?,?,?
Protopage,Yes,Yes,Yes,Yes,Yes,Yes,Yes," RSS 0.90,  RSS 0.92,  RSS 0.93,  RSS 0.94,  Atom 0.3,  Atom 1.0 ",?,Yes,Yes
Pulse (software),?,?,?,?,?,?,?,?,?,?,?
QuiteRSS,?,?,Yes,Yes,?,?,Yes,?,?,?,Yes
Rhythmbox,?,?,?,?,Yes,?,?,?,No,?,Yes
RSS Bandit,?,?,?,?,?,?,?,?,No,?,?
RSSOwl,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Newsgroup,No,Yes,Yes
Safari (web browser),Yes,?,Yes,Yes,?,?,Yes,?,No,Yes,Yes
Sage (Mozilla Firefox extension),?,Yes,Yes,Yes,No,No,Yes,?,?,Yes,Yes
SeaMonkey Mail &amp; Newsgroups,?,Yes,Yes,Yes,?,?,Yes,Newsgroup,?,Yes,Yes
Songbird (software),?,Yes,Yes,Yes,Yes,Yes,Yes,?,No,Yes,Yes
Shiira,?,?,?,?,?,?,Yes,?,?,Yes,?
Sleipnir (web browser),?,?,?,?,?,?,Yes,?,No,Yes,?
The Bat!,?,Yes,Yes,Yes,?,?,Yes,?,?,Yes,?
The Old Reader,Yes,?,?,Yes,Yes,?,Yes,PubSubHubbub,No,Yes,Yes
Tiny Tiny RSS,?,?,?,Yes,?,?,Yes,?,No,?,Yes
Winamp,?,?,?,?,Yes,?,?,?,?,Yes,Notification only
Windows Live Mail,?,Yes,Yes,Yes,?,?,Yes,?,Yes,Yes,Yes
Zimbra,?,Yes,Yes,Yes,?,?,Yes,?,?,?,?
Zune,?,?,?,?,Yes,?,?,?,?,?,?
Client,Feed URI scheme,RSS (file format),RSS (file format),RSS (file format),RSS enclosure,Media RSS,Atom (standard),other standard,Delta updates,IPv6,Auto updates
