File manager,Family,User interface,Icon view,List view,Column view,Thumbnails,Details + Thumbs,Grouping,Content dependent [36],Twin panel,Favorites / Bookmark,Panel tabs
Altap Salamander,Orthodox File Manager,Graphical user interface,Yes,Yes,Yes,Yes,No,No,No,Yes,Partial,No
Commander One,Orthodox File Manager,Graphical user interface,Yes,Yes,Yes,Yes,?,?,No,?,Yes,Yes
CRAX Commander,Orthodox File Manager,Graphical user interface,Yes,Yes,No,Yes,?,?,No,Yes,Yes,Yes
Demos Commander,Orthodox File Manager,Text user interface,?,Yes,?,?,?,?,?,Yes,?,?
Directory Opus,Orthodox File Manager,Graphical user interface,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Dired,Orthodox File Manager,Text user interface,?,Yes,?," Yes, on GUI[37] "," Yes, on GUI[37] ",?,?," Yes, one or more ",Partial (bookmarks),Yes (show tab-bar optional) [38]
Documents by Readdle (page does not exist),,Graphical user interface,Yes,,,Yes,,,,,,
Dolphin (file manager),Navigational file manager,Graphical user interface,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Double Commander,Orthodox File Manager,Graphical user interface,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
DOS Navigator,Orthodox File Manager,Text user interface,?,Yes,?,?,?,?,?,Yes,?,?
EmelFM2,Orthodox File Manager,Graphical user interface,No,Yes,No,Yes[39],?,No,No,Yes,?,No
FAR Manager,Orthodox File Manager,Text user interface Text user interface,Partial[41],Yes,Yes,Yes[42],Partial[41],Yes,Yes,Yes,Yes,Partial [m 1]
File Commander,Orthodox File Manager,Text user interface,No,Yes,Yes,No,Partial,Yes,No,Yes,No,No
File Manager (Windows),Orthodox File Manager,Graphical user interface,Yes,Yes,No,?,?,?,?,Yes,No,No
Files (Apple),,Graphical user interface,Yes,,,Yes,Yes,,,,,
Files by Google,,Graphical user interface,,,,,,,,,,
Macintosh Finder,Spatial file manager / Spatial file manager,Graphical user interface,Yes,Yes,Yes,Yes," Yes, with Cover Flow ",Yes,No,No,Yes,No
ForkLift (File Manager),Orthodox File Manager,Graphical user interface,Yes,Yes,Yes,Yes,Partial,Yes,No,Yes,Yes,Yes
Gentoo (file manager),Orthodox File Manager,Graphical user interface,?,Yes,?,?,?,?,?,Yes,?,?
GNOME Commander,Orthodox File Manager,Graphical user interface,No,Yes,No,No,?,No,No,Yes,?,Yes
Konqueror,Navigational file manager / Navigational file manager,Graphical user interface,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Krusader,Orthodox File Manager,Graphical user interface,Yes,Yes,Yes,Yes,?,No,Yes,Yes,Yes,Yes
Midnight Commander,Orthodox File Manager,Text user interface,No,Yes,Yes,?,?,?,Yes,Yes,Yes,?
GNOME Files,Navigational file manager / Navigational file manager,Graphical user interface,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Nemo (file manager),Navigational file manager / Navigational file manager,Graphical user interface,Yes,Yes,Yes,Yes,Yes,No,No," Yes,press[F3] ",Yes,Yes
Nomad.NET,Orthodox File Manager,Graphical user interface,Yes,Yes,Yes,Yes,?,Yes," Partial, Manual ",Yes,Yes," Yes, Shared "
Path Finder,Navigational file manager,Graphical user interface,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes
PCMan File Manager,Navigational file manager,Graphical user interface,Yes,Yes,Yes,Yes,Yes,?,No,Yes,Yes,Yes
ROX-Filer,Spatial file manager,Graphical user interface,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No
STDU Explorer,Navigational file manager,Graphical user interface,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Total Commander,Orthodox File Manager,Graphical user interface,Yes,Yes,Yes,Yes,Yes,Yes,Yes In viewing,Yes,Yes,Yes
Thunar,Navigational file manager,Graphical user interface,Yes,Yes,Yes,Yes,Yes,No,?,No,Yes,Yes
Volkov Commander,Orthodox File Manager,Text user interface,?,Yes,?,?,?,?,?,Yes,?,?
Windows Explorer,Navigational file manager / Navigational file manager,Graphical user interface,Yes,Yes,Yes [m 2],Yes,Partial [m 3],Yes,Yes,No,Yes,No
Xandros File Manager,Navigational file manager,Graphical user interface,Yes,?,?,?,?,?,?,?,?,?
Xfe,Hybrid Navigational file manager,Graphical user interface,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No
Xfm (file manager),Spatial file manager,Graphical user interface,Yes,No,No,No,No,?,?,No,?,No
Xplorer²,Hybrid Navigational file manager / Navigational file manager,Graphical user interface,Yes,Yes,Yes,Yes,Yes[43],Yes,Yes,Yes,Yes,Yes
XYplorer,Hybrid Navigational file manager / Navigational file manager,Graphical user interface,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes
ZTreeWin,Orthodox File Manager,Text user interface,No,Yes,Yes,No,Partial,Yes,No,Yes,Yes,No
File manager,Family,User interface,Icon view,List view,Column view,Thumbnails,Details + Thumbs,Grouping,Content dependent,Twin panel,Favorites / Bookmark,Panel tabs
