Name,Computer networkingComputer networking,Anonymous P2P,Link system compatibility,Price,Computing platform,Software license,Programming language,Free Spyware-Spyware,Latest release year,Extra information
AMule," EDonkey network, EDonkey network ",No," Ed2k URI scheme, magnet ",Free," GNU, macOS, GNU, GNU ",GPL,C++,Yes," 2016, 2.3.2 (September 16, 2016; 4 years ago (2016-09-16)[2]) [±] ",
Ares Galaxy," Ares, BitTorrent ",No,arlnk,Free,Windows,GPL,Object Pascal (Delphi),Yes," 2017, 2.4.6 (August 22, 2017; 3 years ago (2017-08-22)) [±][3] ",
BitComet," BitTorrent, eDonkey, Kad;[4] HTTP/FTP download ",No," ed2k,[4] magnet ",Free,Windows,Proprietary software,C++,Yes," 2015, 1.66 (April 13, 2020; 5 months ago (2020-04-13)) [±][5] ",Exploits SuperSeeding and thus is often banned by trackers and peers. Compatible with e2DK links through an eMule plugin which gives access to eDonkey and Kad networks and cross-network sharing abilities with BitTorrent network.
Cabos,Gnutella,No,magnet,Free," macOS, Windows ",GPL," Java, REALbasic ",Yes," 2010, 0.8.2 (February 9, 2010; 10 years ago (2010-02-09)) [±] ",
DC++,Direct Connect,No,magnet,Free,Windows,GPL,C++,Yes," 2017, 0.866 May 20, 2017; 3 years ago (2017-05-20) "," Many modifications exist, for example: EiskaltDC++, EiskaltDC++, EiskaltDC++, etc. "
EMule," eDonkey, Kad ",No,ed2k,Free,Windows,GPL,C++,Yes," 2010, 0.50a (April 7, 2010; 10 years ago (2010-04-07)[6]) [±] ",Supports protocol Obfuscation
Filetopia,Filetopia,No (except when using a bouncer),No,Free,Windows,Proprietary software,Java,No,2018,
Flashget," BitTorrent, eDonkey; HTTP/FTP download ",No,?,?,Windows,Proprietary software,?,?,2012,
Fopnu,Fopnu,No[7],fopnu,Free," Windows, Linux ",Proprietary software,C++,Yes," 2020, 1.48 (June 9, 2020) ",
Free Download Manager,BitTorrent; HTTP/FTP download,No,Metalink,Free,Windows,GPL,C++,Yes," 2015, 5.1.38 (build 7312) (January 31, 2019; 20 months ago (2019-01-31)) [±][8] ",
Freenet’s FProxy,Freenet,Yes,No,Free," GNU, macOS, Windows ",GPL,Java,Yes," 2020, 0.7.5 (Build 1485) (January 26, 2020; 8 months ago (2020-01-26)) [±][9] ",
Freenet,Freenet,Yes,No,Free," GNU, macOS, Windows ",GPL,Java,Yes,2011,
