File system,Creator,Year of introduction,Original Operating system
DECtape,Digital Equipment Corporation,1964,PDP-6 Monitor
MVS,IBM,1964,OS/360
Level-D,Digital Equipment Corporation,1968,TOPS-10
George 3,International Computers and Tabulators (later International Computers and Tabulators),1968,GEORGE (operating system)
Version 6 Unix file system (V6FS),Bell Labs,1972,Version 6 Unix
RT-11 file system,Digital Equipment Corporation,1973,RT-11
Disk Operating System (GEC DOS),The General Electric Company plc,1973,Core Operating System
CP/M file system,Digital Research (Digital Research),1974,CP/MCP/MCP/M
ODS-1,Digital Equipment Corporation,1975,RSX-11
GEC DOS filing system extended,The General Electric Company plc,1977,OS4000
FAT (8-bit),Microsoft (Microsoft) for Microsoft,1977,Microsoft Standalone Disk BASIC-80 (later Microsoft Standalone Disk BASIC-80)
Apple DOS,Apple Inc.,1978,Apple DOS
UCSD p-System,UCSD,1978,UCSD p-System
CBM DOS,Commodore International,1978,Commodore BASIC
Version 7 Unix file system (V7FS),Bell Labs,1979,Version 7 Unix
ODS-2,Digital Equipment Corporation,1979,OpenVMS
FAT12,Seattle Computer Products (Seattle Computer Products),1980,QDOS (SCP)/QDOS (SCP) (later IBM QDOS (SCP))
ProDOS,Apple Inc.,1980,Apple SOS (later Apple SOS)
Disc Filing System,Acorn Computers Ltd,1982,BBC Micro BBC Micro
Advanced Disc Filing System,Acorn Computers Ltd,1983,Acorn Electron (later Acorn Electron)
Berkeley Fast File System,Marshall Kirk McKusick,1983,4.2BSD
FAT16," IBM, IBM ",1984," PC DOS 3.0, PC DOS 3.0 "
Macintosh File System,Apple Inc.,1984,System 1
Elektronika BK tape format," NPO ""Scientific centre"" (now Sitronics) ",1985," Vilnius Basic, BK monitor program "
Hierarchical File System,Apple Inc.,1985,System 2.1
Amiga Old File SystemAmiga Old File System,Metacomco for Metacomco,1985,Amiga OS
GEMDOS,Digital Research,1985,Atari TOS
NetWare File System,Novell,1985,NetWare 286
High Sierra Format,Ecma International,1986,MSCDEX for MS-DOS 3.1/3.2MSCDEX
FAT16B,Compaq,1987,Compaq MS-DOS 3.31
Minix file system,Andrew S. Tanenbaum,1987,MINIX 1.0
Amiga Fast File System,Commodore International,1988,Amiga OS 1.3
ISO 9660:1988," Ecma International, Ecma International ",1988," MS-DOS, MS-DOS, and MS-DOS "
