File system,DOS,Windows 9x,Windows NT,Linux,&quot;classic&quot; Mac OS,MacOS,FreeBSD,OS/2,BeOS,Minix,Solaris (operating system),Z/OS
APFS,No,No,No,Partial (read-only with apfs-fuse[77] or linux-apfs[78]),No,Yes  (Since macOS Sierra),No,No,No,No,No,No
BeeGFS,No,No,No,Yes,No,?,No,No,?,?,?,No
DECtape,No,No,No,No,No,No,No,No,No,No,No,No
Level-D,No,No,No,?,No,?,No,No,No,No,?,?
RT-11,No,No,No,No,No,No,No,No,No,No,No,No
Version 6 Unix file system (V6FS),No,No,No,?,No,No,No,No,No,No,No,No
Version 7 Unix file system (V7FS),No,No,No,Yes,No,?,No,No,?,?,?,?
ExFAT,No,No," Yes (installable drivers for Windows XP, Windows XP. Included with Windows XP SP1 and newer.) ",Yes (available as a kernel module or Filesystem in Userspace driver),No,Yes,Yes (available as a Filesystem in Userspace driver),No,No,No,Yes (available as a Filesystem in Userspace driver),No
FAT12,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes," Partial (via dosdir, dosread, doswrite) ",Yes,?
FAT16 / FAT16 / FAT16," Yes (FAT16 from DOS 3.0, FAT16B from DOS 3.31, FAT16X from DOS 7.0) ",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes," Partial (via dosdir, dosread, doswrite, not FAT16X) ",Yes,?
FAT32 / FAT32,Yes (from DOS 7.10),Yes (from Windows 95 OSR2),Yes (from Windows 2000),Yes,Yes?,Yes,Yes,Yes,Yes,No,Yes,?
Global File System,No,No,No,Yes,No,?,No,?,?,?,?,?
High Performance File System,Partial (with third-party drivers),No,Partial (with Windows NT 3.1 to Windows NT 3.1 only),Yes,?,?,Yes,Yes (from OS/2 1.2),?,No,?,?
NTFS,Partial (with third-party drivers)," Yes (with 3rd-party drivers like Paragon NTFS for Win98 (page does not exist), Paragon NTFS for Win98 (page does not exist)) ",Yes,Yes with Ntfs-3g,No," Yes natively read only, write support with Paragon NTFS (page does not exist) or Paragon NTFS (page does not exist) ",Yes with Ntfs-3g,?,Yes with Ntfs-3g,No,Yes with Ntfs-3g,?
Apple Hierarchical File System,No,No,Yes with Paragon HFS+ [79],Yes,Yes,No write support since Mac OS X 10.6 and no support at all since macOS 10.15,No,?,Yes,No,?,No
