Software,CRC32,MD5,SHA-1,SHA-224,SHA-256,SHA-384,SHA-512,SHA-3,Panama (cryptography),RIPEMD,RIPEMD,RIPEMD,RIPEMD,Tiger (cryptography),Whirlpool (cryptography),Other
7-Zip,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No," Cyclic redundancy check, Cyclic redundancy check "
AccuHash (page does not exist),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
BeaverSFV (page does not exist),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
CDCheck,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No," MD2 (cryptography), MD4, Adler 32 Gost 32, Haval, Tiger "
cfv,Yes,Yes,Yes,No,No,No,No,No,?,?,?,?,?,?,?,Torrent file
Checksum Compare,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,?
Checksums,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,-
CHK,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes," Adler-32, Adler-32, Adler-32, Adler-32, Adler-32, CRC64, Adler-32, SHA-1 (Adler-32), SHA-256 (Adler-32), Adler-32, Adler-32 "
Cksum,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,?
CyoHash,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,-
Data Digester,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes," MD2 (cryptography), MD2 (cryptography), MD2 (cryptography) "
DeepDigest,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Double Commander,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No," BLAKE2s, BLAKE2s, BLAKE2s, BLAKE2s "
DySFV (page does not exist),Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,No,No,Yes,No,No,No,No,?
