Software,Compare multiple files,Hash single file,Hash several files,Hash directories &amp; sub-directories,exclude filter,Binary output,Bubble Babble (page does not exist) output,Base64 output,Hexadecimal output
7-Zip,No,Yes,Yes,Yes,No,?,?,?,?
AccuHash (page does not exist),?,?,?,?,?,?,?,?,?
BeaverSFV (page does not exist),?,?,?,?,?,?,?,?,?
CDCheck,Yes,Yes,?,Yes,?,?,?,?,Yes
Cfv (page does not exist),?,?,?,?,?,?,?,?,?
Checksum Compare,Yes,Yes,Yes,Yes,?,No,No,No,Yes
Checksums,No,Yes,No,No,No,No,No,No,Yes
CHK,Yes,Yes,Yes,Yes,?,No,No,Yes,Yes
Cksum,?,Yes,Yes,No,?,No,No,No,No
CyoHash,No,Yes,Yes,Yes,No,No,No,No,Yes
Data Digester,Yes,Yes,Yes,Yes,?,Yes,No,Yes,Yes
DeepDigest,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
DySFV (page does not exist),Yes,Yes,?,Yes,?,No,No,No,No
ExactFile,Yes,Yes,Yes,Yes,?,No,No,No,No
EXpress CheckSum Calculator (page does not exist),?,?,?,?,?,?,?,?,?
FastSum (page does not exist),Yes,Yes,Yes,Yes,?,No,No,No,Yes
FCIV,Yes,Yes,Yes,Yes,?,No,No,Yes,Yes
Febooti Hash &amp; CRC,?,Yes,Yes,?,?,?,?,No,Yes
FileVerifier++ (page does not exist),Yes,Yes,Yes,Yes,?,No,No,Yes,Yes
FlashSFV (page does not exist),?,?,?,?,?,?,?,?,?
FSUM,?,?,?,?,?,?,?,?,?
FSUM Frontend,Yes,Yes,Yes,Yes,?,No,Yes,Yes,Yes
PowerShell's PowerShell,?,Yes,?,?,?,?,?,?,Yes
Hashcalc,?,?,?,?,?,?,?,?,?
HashCheck Shell Extension,?,Yes,Yes,Yes,?,?,?,?,?
HashForm,?,Yes,Yes,Yes,?,No,No,No,Yes
HashShell,Yes,Yes,Yes,Yes,?,No,No,No,Yes
ilSFV,Yes,Yes,?,Yes,?,No,No,No,No
Jacksum,?,?,?,?,?,?,?,?,?
jdigest,?,?,?,?,?,?,?,?,?
jHashCalc,?,?,?,?,?,?,?,?,?
MD5 File Hasher,Yes,Yes,Yes,Yes,?,No,No,No,Yes
MD5 &amp; SHA Checksum Utility,No,Yes,Yes,Yes,?,No,No,No,No
Md5deep,Yes,Yes,?,Yes,?,No,No,No,Yes
Md5sum,Yes,Yes,Yes,No,?,No,No,No,Yes
MD5summer,Yes,Yes,?,Yes,?,?,?,?,Yes
MD5 Win Verifier,Yes,Yes,No,No,?,No,No,No,?
QuickSFV,?,?,?,?,?,?,?,?,?
PeaZip,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
RapidCRC,Yes,Yes,?,Yes,?,No,No,No,Yes
RekSFV,Yes,Yes,Yes,Yes,?,No,No,No,Yes
RHash,?,Yes,Yes,No,?,No,No,No,No
SafeFileManager,Yes,Yes,Yes,Yes,?,?,?,?,?
Sigcheck,Yes,Yes,Yes,Yes,No,No,No,No,Yes
SFV Checker,?,?,?,?,?,?,?,?,?
Sha1sum,Yes,Yes,Yes,No,?,No,No,No,Yes
Sha3sum,Yes,Yes,Yes,No,?,No,No,No,Yes
SuperSFV (page does not exist),?,?,?,?,?,?,?,?,?
Teracopy,Yes,Yes,Yes,Yes,No,No,No,No,Yes
Tom's Hash Explorer,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
Toolsley Hash &amp; Validate,?,Yes,?,No,?,No,No,No,Yes
Total Commander,?,Yes,Yes,Yes,?,?,?,?,?
WinHasher (page does not exist),Yes,Yes,?,No,?,No,Yes,Yes,Yes
WxChecksums (page does not exist),Yes,Yes,?,Yes,Yes,No,No,No,Yes
