Name,Frequency,Credit bureau(s),Full SSN required?,Scoring model
AnnualCreditReport.com,Annual full official report (one from each agency) [3]," Equifax, Equifax, EquifaxEquifax ",Yes[3],No score provided
CreditCards.com by Bankrate,Monthly full report[4],TransUnion[4],Last 4 digits only,VantageScore 3.0[4]
CreditWise by Capital One,Weekly full report[5],TransUnion[5],Yes[5],VantageScore 3.0[5]
CreditWorks Basic by Experian,Monthly full report[6],Experian,Yes[6],FICO 8[6]
Credit Journey by Chase Bank,Weekly summary[7],TransUnion[7],Yes[7],VantageScore 3.0[7]
Credit Karma,Weekly full reports[8]," TransUnion, Equifax[8] ",Sometimes[9],VantageScore 3.0[10]
Credit Scorecard by Discover Financial,Monthly summary[11],Experian,Yes[11],FICO 8[11]
Credit Sesame,Monthly summary[12],TransUnion[12],Last 4 digits only[12],VantageScore 3.0[12]
Equifax Core Credit,Monthly summary[13],Equifax,Last 4 digits only[13],VantageScore 3.0[13]
LendingTree,Monthly summary[14],TransUnion[14],Last 4 digits only[14],VantageScore 3.0[10]
Mint.com by Mint.com,Monthly summary[15],TransUnion[15],Yes[15],VantageScore 3.0[16]
myBankrate,Monthly full report[17],TransUnion[17],Last 4 digits only,VantageScore 3.0[17]
MyCredit Guide by American Express,Weekly full report[18],TransUnion[18],Last 4 digits only,VantageScore 3.0[18]
NerdWallet,Weekly full report[19],TransUnion[19],Last 4 digits only[19],VantageScore 3.0[19]
Nav (company),Every 30 days,Experian and Dun &amp; BradstreetDun &amp; Bradstreet,Yes,VantageScore 3.0[20]
QLCredit by Quicken Loans,Biweekly full report[21],TransUnion[21],Yes[21],VantageScore 3.0[10]
Quizzle by Quizzle,Quarterly full report[22],TransUnion[22],Last 4 digits only[22],VantageScore 3.0[10]
TransUnion TrueIdentity,Monthly full report,TransUnion,Last 4 digits only,VantageScore 3.0[10]
WalletHub,Daily full report[23],TransUnion[23],Last 4 digits only[23],VantageScore 3.0[10]
