,Product import-export,Statistics,Stock control,WYSIWYG editor
Apache OFBiz,Yes,Yes,Yes,Yes
Batavi (software),Yes,Yes,Yes,Yes
Bigcommerce,Yes,Yes,Yes,Yes
Drupal Commerce,Yes,Yes,Yes,Yes
KonaKart,Yes,Yes,Yes,Yes
LemonStand,Yes,Yes,Yes,Yes
Magento,Yes,Yes,Yes,Yes
NopCommerce,Yes,Yes,Yes,Yes
OsCommerce,free add-on,Yes,Yes,free add-on
Pimcore,Yes,Yes,Yes,Yes
PrestaShop,Yes,Yes,Yes,Yes
Sana Commerce,Yes,Yes,Yes,Yes
Shopify,Yes,Yes,Yes,No
SupaDupa,Yes,Yes,Yes,No
WooCommerce,Yes,Yes,Yes,Yes
Zen Cart,free add-on,Yes,Yes,free add-on
