Software,Latest version,Latest release,Free to use,Free software,Software license,Microsoft Windows,MacOS,Linux,Android (operating system),IOS
Agelong Tree,5.5,2020-04-08,No  (40 Person Free Trial),No,Proprietary software,Yes,Yes,Using Wine (software),No,No
Ahnenblatt,3.10,2020-05-22," No (Free demo, 50 person limit, watermarked reports; latest free version: 2.99m)  ",No,Proprietary software,Yes,No,Using Wine (software),No,No
Ancestral Quest,16.0.6,2020-08-10,Yes  (Basics version),No,Proprietary software,Yes,Yes,Using Wine (software),No,No
Ancestris,10,2020-02-08,Yes,Yes,GNU General Public License,Yes,Yes,Yes,No,No
Brother's Keeper (software),7.5.0,2020-04-10,Yes  (Unreg. ver.),No,Shareware,Yes,No,Using Wine (software),No,No
Family Historian,6.2.7,2018-05-01,No (30-Day Free Trial),No,Proprietary software,Yes,No,Using Wine (software),No,No
MyHeritage,8.0,2016-08-12,Yes  (Free ver.),No,Proprietary software,Yes,Yes,Using Wine (software),Yes,Yes
Family Tree Maker,2019 (24.0.1),2019-11,No,No,Proprietary software,Yes,Yes,No,No,No
Family Tree,1.2.1,2013-10-05,No,No,Proprietary software,No,Yes,No,?,?
GEDitCOM,2.3,2016-11-17," No (15-Day Free Trial, Read-Only afterwards)  ",No,Proprietary software,No,Yes,No,?,Yes
Genbox Family History,3.7.1,2007-11-17,No  (30 Day Free Trial),No,Proprietary software,Yes,No,Using Wine (software),No,No
GenealogyJ,3.0,2020-02-15,Yes,Yes,GNU General Public License,Java[a],Java[a],Java[a],No,No
GenoPro," 2016, 3.0.0.7 ",2016-01-27,No  (25 Person Free Trial),No,Proprietary software,Yes,No,Using Wine (software),No,No
Gramps,5.1.3,2020-08-22,Yes,Yes,GNU General Public License,Yes,Yes,Yes,No,No
Heredis,2020,2019-01-12,No  (50 Person Free Trial),No,Proprietary software,Yes,Yes,No,Yes,Yes
Kith and Kin Pro,3.2.5,2016-08-01,No  (30-Day Free Trial),No,Shareware,Yes,No,No,No,No
Legacy Family Tree,9.0.0.368,2020-09-29,Yes  (Standard Edition),No,Proprietary software,Yes,No,Using Wine (software),No,No
LifeLines,3.1.1,2016-03-17,Yes,Yes,MIT License,Yes,Yes,Yes,No,No
MacFamilyTree,8.3.5,2018-04-24," No (Free Trial, but you cannot save or export your entries)  ",No,Proprietary software,No,Yes,No,No,Yes
Personal Ancestral File,5.2.18.0,2002-07-23 (discontinued 2014),Yes,No,Proprietary software,Yes,No,Using Wine (software),?,?
Reunion (genealogy software),12.0 (build 200127),2020-01-27," No (Free demo, 50 person limit, no import/export, watermarked reports)  ",No,Proprietary software,No,Yes,No,No,Yes
RootsMagic,7.6.4.0,2020-08-28,Yes  (Essentials),No,Proprietary software,Yes,Yes,Using Wine (software),Yes,Yes
The Master Genealogist,9.05.0000,2014-12-03 (discontinued:2015),No  (30 Day Free Trial),No,Proprietary software,Yes,No,Using Wine (software),No,No
Webtrees,2.0.4,,Yes,Yes,GNU General Public License,?,?,?,?,?
