Product,Highlight,Annotate,Edit meta-data,Online dictionary,Offline dictionary,Lookup Wikipedia,Translate,Share,TTS support (read aloud),DRM support,Export to iTunes
Apabi Reader (page does not exist),No,No,No,No,No,No,No,Two Chinese websites only,No,No,Yes
Blio,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes
Bluefire Reader,Yes,Yes," Author, Title, Publisher ",Yes,No,No,No," Facebook, Twitter, eMail ",No,Yes,Yes
DL Reader (page does not exist),Yes,Yes," Author, Title, Publisher ",No,No,No,Yes,No,No,Adobe DRM,Yes
EBookMobi (page does not exist),No,No,No,No,Yes,No,Yes,eMail,No,No,Yes
Ebook Reader (page does not exist),Yes,Yes,No,No,No,No,No," Facebook, Twitter, eMail, Google+ ",No,Adobe DRM,Yes
I2Reader (page does not exist),No,No,No,No,Yes,No,No,eMail,No,No,Yes
IBooks,Yes,Yes,No,Yes,Yes,Yes,No," Facebook, Twitter, eMail, SMS "," yes, via VoiceOver ",FairPlay,Yes
Amazon Kindle,Yes,Yes,No,Yes,Yes,Yes,No," Facebook, Twitter ",No,Yes,Yes
Kobo eReader,Yes,Yes,No,Yes,No,Yes,No," Facebook, Twitter ",No,Yes,Yes
KyBook,Yes,Yes,Yes,No,Yes,Yes,Yes," Facebook, Twitter, eMail, VKontakte ",Yes,No,Yes
KyBook 2,Yes,Yes,No,Yes,Yes,Yes," Facebook, Twitter, eMail, VKontakte ",Yes,No,Yes,Yes
MapleRead,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
Marvin,Yes,Yes,Yes,Yes,Yes,Yes,No," Facebook, Twitter, eMail, customizable ",Yes,No,Yes
MegaReader (page does not exist),No,No,No,No,No,No,No,No,No,No,Yes
PocketBook reader (page does not exist),Yes,Yes,No,Yes,Yes,Yes,No," Facebook, Twitter, eMail, SMS ",No,Yes,Yes
ShuBook 2 (page does not exist),No,No," Author, Title, Label ",No,Yes,No,No," Whole book only, eMail ",No,No,Yes
SideBooks (page does not exist),Yes,Yes,No,No,No,No,No,No,No,No,Yes
Lexcycle Stanza,No,Yes,Yes,No,Yes,No,No," Facebook, Twitter, eMail ",No,No,Yes
UBooks XL (page does not exist),Yes,No,Yes,No,No,No,Yes,eMail,No,No,Yes
IBouquiniste (page does not exist),No,No,No,No,No,Yes,Yes,eMail,Yes,No,Yes
