Manager,IPod touch / IPod touch Firmware up to 1.1.4,IPod touch / IPod touch FW 2.x,IPod touch / IPod touch FW 3.0,IPod touch / IPod touch FW 3.1,IPod touch / IPod touch FW 4.0.2,IPod touch / IPod touch FW 5.0.x
Amarok (audio),Yes,No,Yes,Yes," Yes, Read-only "," Yes, Read-only "
Banshee (music player),Yes,Yes,Yes,Yes," Yes, Read-only "," Yes, Read-only "
Clementine (software)," Yes, limited "," Yes, limited "," Yes, limited "," Yes, limited ",No,No
EphPod,No,No,No,No,No,No
Gtkpod,Yes,Yes,Yes,Yes,?,?
IRip,Yes,Yes,Yes,Yes,Yes," Yes, Read-only "
ITunes,Yes,Yes,Yes,Yes,Yes,Yes
JRiver Media Center,No,No,No,No,No,No
MediaMonkey,Yes,Yes,Yes,Yes,Yes,Yes
Rhythmbox,Yes,Yes,Yes,Yes,Yes,No
Senuti,Yes,Yes,No,No,No,?
Winamp native,No,No,No,No,No,No
XPlay,Yes," Yes, Read only "," Yes, Read only "," Yes, Read only "," Yes, Read only "," Yes, Read only "
TouchCopy (page does not exist),Yes,Yes,Yes,Yes,Yes,Yes
Manager,IPod touch / IPod touch Firmware up to 1.1.4,IPod touch / IPod touch FW 2.x,IPod touch / IPod touch FW 3.0,IPod touch / IPod touch FW 3.1,IPod touch / IPod touch FW 4.0.2,IPod touch / IPod touch FW 5.0.x
