Program,Comic book archive,Portable Document Format,BMP file format,JPEG,Portable Network Graphics,TIFF,Graphics Interchange Format,Adobe Photoshop,Image file formats
ACDSee,,,BMP,JPEG,PNG,TIFF,GIF,PSD," ACDSee reads 9 compression formats and writes to 2, reads 33 video formats, and supports 61 image formats and writes to 16, including Windows Metafile, Windows Metafile, PIC, PICT, Windows Metafile, Windows Metafile, SGI, TGA, Windows Metafile, Windows Metafile, various camera formats among others "
Adobe Bridge,,,,,,,,,Displays all file types supported by Adobe Creative Suite
Apple Aperture,,PDF,,JPEG,PNG,TIFF,GIF,PSD," Adobe Photoshop, OLY,[ Adobe Photoshop ] Various video formats including: Adobe Photoshop, Adobe Photoshop, Adobe Photoshop "
CDisplay," CBZ, CBR, CBT, CBA",,BMP,JPEG,PNG,,GIF,,
Comix," CBZ, CBR, CBT",,,JPEG,PNG,,,,...
DigiKam,,,BMP,JPEG,PNG,TIFF,GIF,," JPEG 2000, JPEG 2000, JPEG 2000, JPEG 2000, PPM, JPEG 2000, JPEG 2000, PGX, JPEG 2000, JPEG 2000, MPE, JPEG 2000, JPEG 2000, JPEG 2000, JPEG 2000 "
Eye of GNOME,,,BMP,JPEG,PNG,TIFF,GIF,," Netpbm format, Netpbm format, Netpbm format, Netpbm format, Netpbm format "
F-Spot,,,,JPEG,PNG,TIFF,GIF,," Portable pixmap, Portable pixmap "
Fast Picture Viewer,,,BMP,JPEG,PNG,TIFF,,PSD," HD Photo, HD Photo, HD Photo, HD Photo (+ HD Photo, HD Photo, HD Photo, MTIFF in the registered edition, as well as HD Photo, HD Photo, PSD, HDR, DDS, EXR, J2K, PNM, PBM, PGM, PBM, LRPREV, JPS through additional HD Photo from the optional FastPictureViewer Codec Pack or from 3rd parties) "
FastStone Image Viewer,,,BMP,JPEG,PNG,TIFF,GIF,PSD," loading of:  JPEG 2000, JPEG 2000, JPEG 2000, JPEG 2000, JPEG 2000, JPEG 2000, JPEG 2000, saving to:  BMP, GIF, JPEG, JPEG 2000, PCX, PNG, PPM, TGA, TIFF, PDF "
Geeqie,,,BMP,JPEG,PNG,TIFF,GIF,," ANI (file format), ANI (file format), ANI (file format), ANI (file format), ANI (file format), ANI (file format), ANI (file format), ANI (file format), ANI (file format), ANI (file format), QIF/QTIF (ANI (file format) Image Format), RAS (ANI (file format)), ANI (file format), ANI (file format), ANI (file format), ANI (file format), ANI (file format), ANI (file format) "
Gonvisor," CBZ, CBR, CBA, CB7",PDF,BMP,JPEG,PNG,,GIF,," Opens images contained in rar, zip, ace and 7zip files. "
GraphicConverter,,PDF,BMP,JPEG,PNG,TIFF,GIF,PSD," 190 types read, 79 types saved "
GThumb,,,BMP,JPEG,PNG,TIFF,GIF,,
Gwenview,,,BMP,JPEG,PNG,TIFF,GIF,PSD," Multiple-image Network Graphics, Multiple-image Network Graphics, Multiple-image Network Graphics, RAW (NEF), etc. "
IPhoto,,,,JPEG,PNG,,GIF,PSD," RAW (All QuickTime supported images), PSD (Leopard), AVI (Leopard), MOV (Leopard) "
IrfanView,,PDF,BMP,JPEG,PNG,TIFF,GIF,PSD," ~70 types including : AIF, ANI/CUR, ASF, AU/SND, AVI, B3D, DIB, CAM (Casio JPG), CLP, DDS, Dicom/ACR, DJVU, ECW, EMF/WMF, EPS/PS, FITS, FlashPix (FPX), FSH, G3, HDR, ICO/ICL/EXE/DLL, IFF/LBM, IMG (GEM), JPEG 2000, JPM, KDC, LDF, LWF, MED, MID/RMI, MNG/JNG, MOV, MP3, MPG, MrSID, NLM/NOL/NGG, OGG, PBM/PGM/PPM, PCX/DCX, PhotoCD, PIC, Adobe Photoshop, PSP, RAS/SUN, RAW, Real Audio (RA), RLE, SFF, SFW, SGI/RGB, SWF (Flash/Shockwave), TGA, TTF, TXT, WAD, WAL, WAV, WBMP, WBZ/WBC, XBM, XPM, CAD formats. Partial support: MOV, QTIF, Mac PICT, FLI/FLC, SVG. Note that some modes don't display large animated GIF files entirely (for example the Slideshow mode). "
KSquirrel,,,,,,,,,51 types
KPhotoAlbum,,,,,,,,," Photo formats supported by KDE; AVI, MPEG, RAW "
Lphoto,,,,,,,,,iPhoto Clone
Phase One Media Pro,,PDF,,JPEG,PNG,TIFF,GIF,PSD," Supports over 100 file formats for images, videos and documents, including: PSD, IIQ, CR, EIP, DOC "
Picasa,,,BMP,JPEG,PNG,TIFF,GIF,," 8 types including Truevision TGA, Truevision TGA, and some movie formats "
Preview (software),,PDF,BMP,JPEG,PNG,TIFF,GIF,,All QuickTime images:
Shotwell (software),,,,JPEG,PNG,TIFF,GIF,,Raw image format and some video formats
Simple Comic," CBZ, CBR, CB7",,,JPEG,PNG,,GIF,," JPEG2000, any other JPEG2000 supported format. Also opens JPEG2000, JPEG2000, JPEG2000, JPEG2000 "
STDU Viewer,,PDF,BMP,JPEG,PNG,TIFF (multipage),GIF,PSD," TXT, EMF, WMF, DjVu, XPS "
Windows Photo Viewer,,,BMP,JPEG,PNG,TIFF,GIF,," Windows Metafile, Windows Metafile, Windows Metafile "
XnView and XnViewMP,,PDF,BMP,JPEG (IPTC&amp;IPTC),PNG,TIFF (multipage),GIF,PSD," reads over 500 formats,FAX including: FAX, FAX, FAX, FAX, FAX; writes about 75 formatsFAX "
Xv (software),,,BMP,JPEG,PNG (with patch),TIFF,GIF,," Portable bitmap, Portable bitmap, Portable bitmap, Portable bitmap, Portable bitmap, Portable bitmap, Portable bitmap, Portable bitmap, Portable bitmap, PM, Portable bitmap "
