Client,Developer,First public release,Active users,Registration requirement,Software license,Operating system,,,,,,End-to-end encryption 2-user chat,End-to-end encryption group chat,File transfer,Voice recording,Client,Voice chat,Video chat,Read receipts,Editing sent messages,Deleting sent messages,Custom Emoji,Sticker (messaging),Self-destructing messages,Screenshot protection,Theme (computing) / Theme (computing),Plug-in (computing),Peer-to-peer text chat,Open-source software servers,Federation (information technology) servers,Client
,,,,,,Microsoft Windows,MacOS,Linux,Web application,Android (operating system),IOS,,,,,,,,,,,,,,,,,,,,
Delta Chat,,,,Email,GPLv3,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Delta Chat,No,No,Yes,-,-,-,-,No,-,Yes,No,No,Yes (mail),Yes (mail),
Discord (software),Discord Inc.," March 6, 2015; 4 years ago (2015-03-06) ",250 million (2019)[2],Email,Proprietary software Proprietary software,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Discord (software),Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Discord (software)
EBuddy,Paulo Taylor," March 9, 2003; 16 years ago (2003-03-09) ",,Phone number,Proprietary software Proprietary software,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,EBuddy,Yes,Yes,Yes,No,Partial,No,No,Yes,Yes,Yes,No,No,No,No,EBuddy
Facebook Messenger," Facebook, Inc. "," August 9, 2011; 8 years ago (2011-08-09) ",1300 million (2019)[3],Facebook account / Phone number,Proprietary software Proprietary software,Yes,No,No,Yes,Yes,Yes,Optional,No,Yes,Yes,Facebook Messenger,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Facebook Messenger
FireChat,Open Garden,March 2014; 5 years ago (2014-03),,Email,Proprietary software Proprietary software,No,No,No,No,Yes,Yes,Optional,Yes,Yes,Yes,FireChat,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Optional,Yes,Yes,FireChat
Gadu-Gadu,Łukasz Foltyn / GG Network S.A.," August 15, 2000; 19 years ago (2000-08-15) ",,,Proprietary software Proprietary software,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Gadu-Gadu,Yes,,,,,No,,,,,No,No,No,,Gadu-Gadu
Gajim,Yann Le Boulanger," May 21, 2004; 15 years ago (2004-05-21) ",,,GPL,Yes,No,Yes,No,No,No,Optional,Plug-in,Yes,No,Gajim,Yes,Yes,,Yes,,Yes,,No,,Yes,Yes,No,Yes,Yes,Gajim
ICQ,Mail.Ru,November 1996; 23 years ago (1996-11),,Phone number,Apache license,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,ICQ,Yes,Yes,,,,Yes,,,,Yes,Yes,No,,,ICQ
Jami (software),Savoir-faire Linux Inc.,2014; 5 years ago (2014),,N/A,GPLv3,Yes,Yes,Yes,No,Yes,Yes,Yes[4],No groupchat,Yes,Yes,Jami (software),Yes,Yes,No,No,Partial,No,No,No,No,Yes,No,Yes,N/A,N/A,Jami (software)
Jitsi,Emil Ivov,2003; 16 years ago (2003),,,GNU Lesser General Public License,Yes,Yes,Yes,No,No,No,Optional,,Yes,Yes,Jitsi,Yes,Yes,,,,Yes,,No,No,,Yes,No,Yes,Yes,Jitsi
Kadu (software),Kadu Team,August 2001; 18 years ago (2001-08),,,GPLv2,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Kadu (software),Yes,No,,,,Yes,,,,Yes,Yes,No,,,Kadu (software)
KakaoTalk,Kakao Corp.," March 18, 2010; 9 years ago (2010-03-18) ",49 million (2018)[5],,Proprietary software Proprietary software,Yes,Yes,No,No,Yes,Yes,Optional,Optional,Yes,,KakaoTalk,,,,,,No,,,,,,No,No,No,KakaoTalk
Kik Messenger,Medialab,October 2010; 9 years ago (2010-10),15 million (2017)[6],Email,Proprietary software Proprietary software Proprietary software,No,No,No,No,Yes,Yes,No,No,Yes,,Kik Messenger,,,,,,Yes,,,,Yes,,No,No,No,Kik Messenger
Line (software),LINE Corporation,2011; 8 years ago (2011),203 million (2018)[7],Phone number,Proprietary software Proprietary software,Yes,Yes,No,No,Yes,Yes,Partial,Yes[8],Yes,Yes,Line (software),Yes,Yes,Yes,No,Partial,No,Yes,No,No,Yes,Yes,No,No,No,Line (software)
MCabber,Mikael Berthe," June 7, 2005; 14 years ago (2005-06-07) ",,,GPL,No,Yes,Yes,No,No,No,No,No,No,No,MCabber,No,No,,,,No,,,,,,No,,,MCabber
Messages (Apple),Apple Inc.," July 25, 2012; 7 years ago (2012-07-25) ",,,Part of MacOS and MacOS,No,Yes,No,No,No,Yes,Optional,Optional,Yes,,Messages (Apple),Yes,Yes,,,,No,,No,No,No,No,No,N/A,N/A,Messages (Apple)
Palringo,Palringo Ltd,2006; 13 years ago (2006),,,Proprietary software Proprietary software,No,No,No,No,Yes,Yes,No,No,No,No,Palringo,Yes,No,,,,No,,,,Yes,No,No,No,,Palringo
Paltalk," AVM Software, Inc ",June 1998; 21 years ago (1998-06),,,Proprietary software Proprietary software,No,No,No,No,Yes,Yes,No,No,Yes,,Paltalk,Yes,Yes,,,,No,,,,Yes,No,No,No,,Paltalk
Pidgin (software),Mark Spencer (computer engineer),November 1998; 21 years ago (1998-11),,,GPL,Yes,Yes,Yes,No,No,No,Optional,,No,No,Pidgin (software),Partial,Yes,,Yes,,Yes,,,,Yes,Yes,Optional,Yes,Yes,Pidgin (software)
Psi (instant messaging client),Psi and Psi+ developers,2001; 18 years ago (2001),,,GPL,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Psi (instant messaging client),Partial,Partial,,Yes,,Yes,,,,Yes,Yes,No,,,Psi (instant messaging client)
RetroShare," Cyril Soler, Gioacchino Mazzurco ",2006; 13 years ago (2006),,,GPL,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,,RetroShare,,,,,,No,,,,,,Yes,N/A,N/A,RetroShare
Ricochet (software),Invisible.im,June 2014; 5 years ago (2014-06),,,BSD,Yes,Yes,Yes,No,No,No,Yes,,,,Ricochet (software),,,,,,No,,,,,,Yes,N/A,N/A,Ricochet (software)
Riot.im,New Vector Limited,July 2016; 3 years ago (2016-07),,N/A,Apache License,Yes,Yes,Yes,Yes,Yes,Yes,Optional,Optional,Yes,No,Riot.im,Yes,Yes,Yes,Partial,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Riot.im
Sicher (software),SHAPE GmbH,June 2014; 5 years ago (2014-06),,,Proprietary software Proprietary software,No,No,No,No,Yes,Yes,Yes,Yes,Yes,,Sicher (software),,,,,,No,,Yes,,,,No,No,No,Sicher (software)
Silence,,,,Phone number,GPLv3,No,No,No,No,Yes,No,Yes,No,Yes,No,Silence,No,No,Yes,No,Yes,-,-,Yes,Yes,Yes,No,,Sms,Sms,Silence
Signal (software),Signal Messenger,July 2014; 5 years ago (2014-07),,Phone number,GPLv3,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Signal (software),Yes,Yes,Yes,No,Partial,No,No,Yes,Yes,Yes,No,No,Yes,No,Signal (software)
Silent Circle (software),Silent Circle (software)," January 16, 2013; 6 years ago (2013-01-16) ",,,Proprietary software Proprietary software,No,No,No,No,Yes,Yes,Yes,Yes[9],Yes,,Silent Circle (software),,,,,,No,,Yes,Yes,,,No,No,No,Silent Circle (software)
Skype," Skype Technologies, a subsidiary of Skype Technologies ",2003; 16 years ago (2003),300 million (2018)[10],,Proprietary software Proprietary software Proprietary software,Yes,Yes,Yes,No,Yes,Yes,Optional,No,Yes,Yes,Skype,Yes,Yes,,Yes,,No,,,,No,Yes,No,No,No,Skype
Slack (software),Slack Technologies,August 2013; 6 years ago (2013-08),,Email,Proprietary software Proprietary software,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,,Slack (software),,,,,,Yes,,,,Yes,Yes,No,No,No,Slack (software)
Snapchat,Snap Inc.,November 2011; 8 years ago (2011-11),294 million (2019)[11],Email / Phone number,Proprietary software Proprietary software,No,No,No,No,Yes,Yes,No,No,No,Yes,Snapchat,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Snapchat
Surespot,Surespot LLC,2013; 6 years ago (2013),,,GPLv3,No,No,No,No,Yes,Yes,Yes,No groupchat,Yes,Yes,Surespot,Yes,No,,,,No,,No,,Yes,No,No,No,No,Surespot
Telegram (software),Telegram Messenger LLP,2013; 6 years ago (2013),200 million (2019)[12],Phone number," GPLv2, GPLv2GPLv2 ",Yes,Yes,Yes,Yes,Yes,Yes,Optional,No,Yes,Yes,Telegram (software),Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Telegram (software)
