Integrated development environment,Software license,Platform (computing),Software developer,Latest stable Software release
Code::Blocks,GPL," Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows ",Code::Blocks Team,17.12 / 2017-12-30
Geany,GPL," Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows, other Microsoft Windows ",Team," 1.27 / March 13, 2016 "
GNAT Programming Studio,GPL," Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows ",AdaCore,4.3.1 / June 2009
KDevelop,GPL,Linux,KDevelop Team (page does not exist)," 5.2.3 (November 24, 2017; 2 years ago (2017-11-24)) [±] "
NetBeans,CDDL," Microsoft Windows, Microsoft Windows, Microsoft Windows ",NetBeans Community," 8.1 / November 4, 2015 "
OpenWatcom,Sybase Open Watcom Public License," Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows ",OpenWatcom Community," 1.9 / June 2, 2010 "
Photran (Photran),Eclipse Public License," Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows "," University of Illinois, University of Illinois "," 9.1 / June 24, 2015 "
Plato,Proprietary software,Microsoft Windows,Silverfrost,4.7.3.0
Understand (software),Proprietary software," Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows, other Microsoft Windows ",SciTools," December 4, 2015 "
Simply Fortran,Proprietary software," Microsoft Windows, Microsoft Windows "," Approximatrix, LLC "," 2.39 / August 30, 2017 "
SlickEdit,Proprietary software," Windows, Windows, Windows, Windows, Windows, Windows, Windows ",SlickEdit,October 2016
IntelliJ IDEA,Apache License," Windows, Windows, Windows, Windows, Windows, Windows ",JetBrains,September 2017
