Integrated development environment,Software developer,Latest stable Software release version,Latest stable release date,Platform (computing),Written in,Widget toolkit,Software license,Python2x support,Python3x support,Debugger,Graphical user interface builder,Toolchain,Profiling (computer programming),Code coverage,Autocomplete,Static program analysis,User interface design,Class browser,Code refactoring,Version control support,Web framework support
Anjuta,Naba Kumar,3.22,2016-09-18,Unix-like,C (programming language),GTK+,GNU General Public License,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Eric (software),Detlev Offenbach,19.10,2019-10-03," Microsoft Windows, Microsoft Windows, Microsoft Windows ",Python (programming language),PyQt," GNU General Public License ""or later"" "," Yes, until version 4.5.25 and since version 5.5.0[40] "," Yes, since version 5.0.0[41] "," Yes, for Python 2 &amp; 3 ",Yes: Qt Creator,Unknown,Yes,Yes,Yes,Multiple integrated checkers and Pylint via plug-in,Yes,Yes,Yes," Apache Subversion and Apache Subversion (core plug-ins), Apache Subversion (optional plug-in) ",Django (web framework) as optional plug-in
Geany,Team,1.36.0,2019-09-28," Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows, other Microsoft Windows ",C (programming language),GTK+,GNU General Public License,Unknown,Yes,No,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
IDLE (Python),Guido van Rossum et al.,3.7,2019-03-25,Cross-platform,Python (programming language),Tkinter,Python Software Foundation License,Yes,Yes,Yes,Yes,Unknown,No,No,Yes,No,Yes,Yes,Unknown,No,No
Komodo IDE,ActiveState,10.2,2017-02-21,Cross-platform,Unknown,Mozilla platform,Proprietary software,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown," GNU Bazaar, GNU Bazaar, GNU Bazaar, GNU Bazaar, GNU Bazaar, GNU Bazaar ",Unknown
KDevelop,KDE KDevelop Team,5.4.3,2019-10-21,Cross-platform," C (programming language), C (programming language) ",Qt (software),GNU General Public License,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Yes[ Wikipedia:Citation needed ]," GNU Bazaar, GNU Bazaar, GNU Bazaar, GNU Bazaar, GNU Bazaar, GNU Bazaar ",Unknown
MonoDevelop,Novell and the Novell community,6.1.2.44,2016-11-11," Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows ",C Sharp (programming language),Gtk Sharp,LGPL,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Ninja-IDE,Team,2.3,2013-07-07,Cross-platform,Python (programming language),PyQt,GNU General Public License,Yes (Python 2.7),Yes,Yes (with wdebugger plugin),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
PIDA,Team,0.6.2,2010-08-04,Cross-platform,Python (programming language),PyGTK,GNU General Public License,Unknown,Unknown,Yes (integrates with external debuggers),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
PyCharm,JetBrains,2020.1.3,2020-07-20," Microsoft Windows, Microsoft Windows, Microsoft Windows ",Java (programming language),Swing (Java),Open core: Full version under Open core,Yes,Yes,Yes,Unknown,Yes,Yes (full version only),Yes (full version only),Yes,Yes PEP 8 and others,Yes,Yes,Yes,Yes,Yes
PyDev / PyDev (plug-in for PyDev and PyDev),Appcelerator,7.5.0,2020-01-10," Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows ",Unknown,Standard Widget Toolkit,Eclipse Public License,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Yes,Yes,Yes,Unknown
PyScripter,Kiriakos Vlahos,3.6.0,2019-01-12,Microsoft Windows,Object Pascal,Project Jedi,MIT License,Yes,Yes up to v3.4,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Python Tools for Visual Studio,Microsoft,2.2.6[42],2017-01-13,Microsoft Windows,Unknown,Windows Forms,Apache License 2.0,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
PythonAnywhere,PythonAnywhere LLP,N/A,N/A,World Wide Web-based,Python (programming language),HTML,Proprietary software,Yes,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
SlickEdit,SlickEdit,21,October 2016," Windows, Windows, Windows, Windows, Windows, Windows ",C++,Qt (software),Proprietary software,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No
SourceLair," SourceLair, Limited. ",N/A,N/A,World Wide Web-based,Python (programming language),HTML,Proprietary software,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Spyder (software),Carlos Cordoba and contributors,4.1.3,2020-05-09,Cross-platform,Python (programming language)," PyQt, PyQt ",MIT License,Yes 2.7,Yes 3.5 – 3.8,Yes,No,Yes,Yes,No,Yes,Yes,Unknown,Software release life cycle,Planned,Partial,No
Thonny,Aivar Annamaa and contributors,3.2.6,2020-01-02," Microsoft Windows, Microsoft Windows, Microsoft Windows ",Python (programming language),Tkinter,MIT License,No,Yes,Yes,No,No,No,No,Yes,Yes,Unknown,Yes,No,No,Flask
Understand (software),SciTools,4.0,2015-04-01," Microsoft Windows, Microsoft Windows, Microsoft Windows, Microsoft Windows, other Microsoft Windows ",Unknown,HTML,Proprietary software,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Visual Studio Code,Microsoft,1.49.0,2020-09-10," Microsoft Windows, Microsoft Windows, Microsoft Windows ",JavaScript,HTML,MIT License,Yes,Yes,Yes,No,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Yes
Wing IDE,Wingware,7.2.5,2020-09-09," Microsoft Windows, Microsoft Windows, Microsoft Windows ",Python (programming language),Qt5 with Qt5,Proprietary software,Yes,Yes," Yes (also remote, multi-threaded, and multi-process debugging) ",No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
