,Server OS support,Features,,,,,,,,,,,,Storage,,Users
Mail server,Linux/Linux,SMTP,POP3,IMAP,IMAP IDLE,SMTP over SMTP,DNS-based Authentication of Named Entities,Post Office Protocol over Post Office Protocol,IPv6,Secure Sockets Layer,Webmail,Exchange ActiveSync,Sieve (mail filtering language),Database,Filesystem,Other,License
Agorum core,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,GNU Public License
Apache James,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,?,Yes,No,No,Yes,Yes,Yes,No,Apache Software License
Axigen,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes," Ajax, Basic &amp; Mobile ",Yes,Yes," Proprietary, Embedded, Optimized for Email and Groupware ",No,Yes," Proprietary software (free version: 5 domains, 5 users, 5 groups) "
Citadel/UX,Yes,Yes,Yes,Yes,No,Yes,?,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,GNU General Public License
CommuniGate Pro,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,Proprietary software (Free for up to 5 users)
Courier Mail Server,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Maildrop,No,Maildir,No,GPLv3GPLv3
Cyrus IMAP,Yes,No,Yes,Yes,Yes,No,?,Yes,Yes,Yes,No,No,Yes,Yes (indexes),Yes,Yes,BSD 4-Clause LicenseBSD 4-Clause License
Dovecot (software),Yes[4],Yes[5],Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,No,No,Yes,Yes," Maildir, Maildir, dbox ",No,Mixed: MIT License and MIT LicenseMIT License
Eudora Internet Mail Server,No,Yes,Yes,Yes,?,No,?,No,?,No,No,No,?,No,No,Yes,Proprietary software
Exim,Yes,Yes," Dovecot (software), Dovecot (software) "," Dovecot (software), Dovecot (software) "," Dovecot (software), Dovecot (software) ",Yes,Yes[7],No,Yes,Yes,No,No,Yes,Yes,Yes,No,GPLGPL
FirstClass,Yes,Yes,Yes,Yes,?,Yes,?,Yes,?,Yes,Yes,Yes,?,Yes,Yes,Yes,Proprietary software
Gordano Messaging Suite,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,?,Yes,Yes,Yes,No,Yes,Yes,Yes,Proprietary software
GroupWise,Yes,Yes,Yes,Yes,?,Yes,?,Yes,?,Yes,Yes,Yes,?,Yes,No,No,Proprietary software
Halon (software),Yes,Yes,No,No,No,Yes,Yes[9],No,Yes,Yes,No,No,?,Yes,Yes,Yes,Proprietary software
Haraka (software),Yes,Yes,No,No,No,Yes,?,No,Yes,Yes,No,No,?,Yes,Yes,Yes,MIT License
HMailServer,No,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,No,?,Yes,Yes,No,GNU AGPL
IBM IBM,Yes,Yes,Yes,Yes,?,Yes,?,Yes,Yes,Yes,Yes,Yes,?,Yes,No,No,Proprietary software
IceWarp Mail Server,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Proprietary software
Ipswitch IMail Server,No,Yes,Yes,Yes,Yes (since v12.2)[10],Yes,?,Yes,?,Yes,Yes,Yes,?,No,Yes,No,Proprietary software
