Service,Owner,Launched,Primary service,Software license,Content license,Multilingual,Ad-free
GNU social,Open source,2010,Microblogging,GNU Affero General Public License,CC-BY 3.0,Yes,Yes
Diaspora (social network),Open source,2010-11,Social network service,AGPLv3,AGPLv3,Yes,Yes
Facebook," Facebook, Inc.Facebook, Inc. ",2004-02,Social network service,Proprietary software,own TOS,Yes,No
Gab (social network)," Gab AI, Inc. ",2016-08,Microblogging,Proprietary software,own TOS,Yes,Yes
Loforo (page does not exist) Loforo (page does not exist),DevZero LLC,2020-06,Microblogging,Proprietary software,own TOS,Yes,Yes
Micro.blog,Riverfold Software,2017-04,Microblogging,???,???,Yes,Yes
Identi.ca," Status Net, Inc. ",2008-07 [3],Microblogging,Apache License v2 (Apache License),CC-BY 3.0,Yes,Yes
Tout (company),Tout (company),2010-04 [4],Microblogging,Proprietary software,own TOS,Yes,Yes
Twitter," Twitter, Inc. ",2006-08 [5],Microblogging,Proprietary software,own TOS,Yes,No
Yammer," Yammer, Inc. ",2008-09 [6],Microblogging,Proprietary software,own TOS,Yes,Yes
Mastodon (software),Open source,2016-10[7],Microblogging,AGPLv3,own TOS,Yes,Yes
Misskey,Open source,2014,Microblogging,AGPLv3,own TOS,Yes,Yes
Pleroma,Open source,2017,Microblogging,AGPLv3,own TOS,Yes,Yes
Twister (software),Open source,2013,Microblogging,MIT and BSD licenses,own TOS,Yes,Yes
Twtxt (page does not exist),Open source,2016,Microblogging,MIT,own TOS,Yes,Yes
Tumblr,Automattic,2007,Microblogging,Proprietary software,own TOS,Yes,No
