Client (computing),Software developer,Cost,Software license,User interface,Programming language,Computing platform,Website
AndroidChat[1],,Free software,GNU GPL," Text user interface, Text user interface ",Java (programming language),Android (operating system),[1]
Mobile Colloquy,Kiji Roshi,US$1.99,BSD License,Graphical user interface,Objective-C,IOS (Apple),[2]
FIRC (page does not exist),Laurence Muller,Free software,GNU GPL,Graphical user interface,Java (programming language),Android (operating system),[3]
Igloo,Jordan Koch,US$5.99,?,Graphical user interface,Swift (programming language),IOS,[4]
IRCCloud,IRCCloud Ltd.,FreewareFreeware,Apache 2.0,Graphical user interface," Objective-C, Objective-C "," IOS, IOS ",[5]
JmIrc (page does not exist),Juho Vähä-Herttua,Free software,GNU GPL,Graphical user interface,Java (programming language),Java ME,[6]
K-IRC (page does not exist),Armond Avanes,Free software,GNU GPL,Graphical user interface,Java (programming language),Java ME,[7]
Microirc (page does not exist),,Free software,GNU GPL,Graphical user interface,C ?,Windows Mobile 5 (and above),[8]
Virca (page does not exist),,Free software,GNU GPL,Text user interface,Java (programming language),Java ME,[9]
WIRC (software) (page does not exist),,Free software,GNU GPL,Graphical user interface,C (programming language) &amp; C (programming language),WebOS,[10]
WLIrc,Sverre Kristian Valskrå,Free software,GNU LGPL,Graphical user interface,Java (programming language),Java ME,[11]
Yaaic,Sebastian Kaspari,Free software,GNU GPL,Graphical user interface,Java (programming language),Android (operating system),[12]
Simple IRC,The Linux Geek,Free software,GNU GPL,Graphical user interface,Java (programming language),Android (operating system),[13]
ZsIRC,Gargaj,Free software,3-clause BSD,Graphical user interface,C++,Windows Mobile,[14]
